filename,doc_id
190_2_ADN Lille 16G 86_893..jpeg,190
194_3_ADNLille_16 G 110_1242.JPG,194
197_1_ADNLille_16 G 291_2556 (Groot) JPG.JPG,197
19_2_RAGent_K78_294.jpeg,19
1_8_ANParijs_J537_I-5-6 (Groot).jpg,1
200_1_ADN Lille_1H 196_2345 (Groot).JPG,200
202_1_ADN Lille_1H 218_2500 (Groot).JPG,202
206_1_ADN Lille_1H 322_3324 (Groot).JPG,206
208_1_ADN Lille 1H 330_3372.jpeg,208
209_3_ADN Lille 1H 399_3661.jpeg,209
20_2_RABrugge_INV 14_15.jpeg,20
210_1_ADN Lille 1H 400_3667.jpeg,210
211_1_ADN Lille 1H 400_3668.jpeg,211
214_1_ADN Lille 3H 190_2626.jpeg,214
21_1_RAGent_K32_14 (Groot).JPG,21
220_2_ADN Lille_4G 708_6984 (Groot).JPG,220
222_3_ADN Lille_8H185_2051.JPG,222
223_1_ADN Lille_10H 8_102 (Groot).JPG,223
223_2_ADN Lille_10H8_102 (Groot).JPG,223
226_1_ADN Lille_10H 100_1319 (Groot).JPG,226
229_2_ADN Lille 10H 210_3434.jpeg,229
229_3_ADN Lille 10H 210_3434.jpeg,229
22_1_ADNLille_B 396_970.jpeg,22
22_3_ADNLille_B 396_970.jpeg,22
230_1_ADN Lille_10H 210_3435 (Groot).JPG,230
231_1_ADN Lille 10H 210_3436.jpeg,231
231_3_ADN Lille 10H 210_3436.jpeg,231
235_2_ADN Lille 26H 3_17.jpeg,235
235_3_ADN Lille 26H 3_17.jpeg,235
23_3_RAGent_K78_300.jpeg,23
241_1_ADN Lille_27H 53_774 .jpeg,241
241_3_ADN Lille_27H 53_774 .jpeg,241
24_2_RAGent_K14_2417 .jpeg,24
250_1_ADN Lille_ 30H 17_248 (DiBe 36900).JPG,250
250_3_ADN Lille_30H17_248 (Groot).JPG,250
252_1_ADN Lille_30H17_250.JPG,252
253_1_ADN Lille_30H 17_253 (Groot).JPG,253
254_1_ADN Lille_30H 17_254 (Groot).JPG,254
25_2_RABrugge INV120_7406.jpeg,25
260_1_ADN Lille_30H 31_591.JPG,260
262_1_ADN Lille_30H 31_593 (Groot).JPG,262
264_1_ADN Lille_30H 55_852 (Groot).JPG,264
266_1_ADN Lille_30H 55_855 (Groot).JPG,266
267_2_ADN Lille_30H55_856 (Groot).JPG,267
268_1_ADN Lille_30H 57_884 (Groot).JPG,268
26_2_RABrugge INV120_7405.jpeg,26
272_1_ADN Lille_31H 2_14 (Groot).JPG,272
276_1_ADN Lille_31H 3_20 (Groot).JPG,276
281_3_ADN Lille_31H13_176.jpeg,281
282_1_ADN Lille_31H 13_177.jpeg,282
283_1_ADN Lille_31H 13_178 .JPG,283
284_2_ADN Lille 31H 13_179.jpeg,284
285_2_ADN Lille 31H 13_180.jpeg,285
286_3_ADN Lille 31H 13_181.jpeg,286
287_1_ADN Lille_31H1 3_185 .JPG,287
288_1_ADN Lille 31H 13_188.jpeg,288
289_1_ADN Lille_31H 13_189 (Groot).JPG,289
290_1_ADN Lille 31H 13_190.jpeg,290
291_1_ADN Lille 31H 13_191.jpeg,291
294_3_ADN Lille 31H 14_194.jpeg,294
295_1_ADN Lille_31H14_198 (Groot).JPG,295
296_1_ADN Lille_31H14_199 (Groot).JPG,296
298_1_ADN Lille_31H14_202 (Groot).JPG,298
299_1_ADN Lille_31H14_203 (Groot).JPG,299
29_3_RABrugge_INV 120_7427.jpeg,29
2_3_ADN Lille B 444_816.jpeg,2
300_2_ADN Lille_31H14_204 (Groot).JPG,300
301_1_ADN Lille_31H14_206 (Groot).JPG,301
302_1_ADN Lille_31H 14_211 (Groot).JPG,302
302_2_ADN Lille_31H14_211 (Groot).JPG,302
30_2_RABrugge_INV 120_7435 .jpeg,30
312_1_ADN Lille_31H62_966 (Groot).JPG,312
313_1_ADN Lille_31H63_972 (Groot).JPG,313
314_1_ADN Lille_31H63_974 (Groot) .JPG,314
315_1_ADN Lille_31H63_975  (Groot).JPG,315
318_2_ADN Lille 31H 70_1296.jpeg,318
319_1_ADN Lille 31H 75_1334.jpeg,319
320_2_ADN Lille_31H82_1483 (Groot).JPG,320
322_1_ADN Lille_31H87_1585 (Groot).JPG,322
325_2_ADN Lille_32H16_183 (Groot).JPG,325
330_2_ADN Lille_33H3_67 (Groot).JPG,330
331_2_ADN Lille_33H31_486.jpeg,331
331_3_ADN Lille_33H31_486.jpeg,331
334_1_ADN Lille_33H33_533 (Groot).JPG,334
336_1_ADN Lille_33H48_735 (Groot).JPG,336
338_2_ADN Lille_33H54_910 .jpeg,338
338_3_ADN Lille_33H54_910 .jpeg,338
341_1_ADN Lille_33H56_996 (Groot).JPG,341
342_1_ADN Lille_33H56_997 (Groot).JPG,342
343_1_ADN Lille_33H56_998 (Groot).JPG,343
344_1_ADN Lille_33H58_1019 (Groot).JPG,344
346_1_ADN Lille 33H 62_1104.jpeg,346
347_1_ADN Lille 33H 62_1105.jpeg,347
348_2_ADN Lille_33H62_1106.jpeg,348
348_3_ADN Lille_33H62_1106.jpeg,348
349_1_ADN Lille 33H 67_1169.jpeg,349
354_1_ADN Lille_36H283_4482 (Groot).JPG,354
356_1_ADN Lille_38H4_17 (Groot) .JPG,356
357_1_ADN Lille_38H48_254 (Groot).JPG,357
358_2_ADN Lille_38H68_330.jpeg,358
359_1_ADN Lille_38H71_342 (Groot).JPG,359
360_1_ADN Lille_40H 104_698 (Groot).JPG,360
364_1_ADN Lille_40H613_1648 (Groot).JPG,364
365_1_ADN Lille_49H 20_79 (Groot).JPG,365
367_1_ADN Lille_49H 33_165  (Groot).JPG,367
368_2_ADN Lille_51H 4_24.jpeg,368
369_1_ADN Lille_51H 4_25 (Groot).JPG,369
372_1_ADN Lille_51H4_23 (Groot).JPG,372
373_1_ADN Lille 51H 26_149.jpeg,373
374_1_ADN Lille_51H26_154 (Groot).JPG,374
374_2_ADN Lille_51H26_154 (Groot).JPG,374
376_2_ADN Lille_59H 5_42.jpeg,376
376_3_ADN Lille_59H 5_42.jpeg,376
379_1_ADN Lille_59H 5_45 (Groot).JPG,379
379_2_ADN Lille_59H5_45 (Groot).JPG,379
380_2_ADN Lille_59H 5_46.jpeg,380
380_4_ADN Lille_59H 5_46.jpeg,380
382_2_ADN Lille_59H 30_141.jpeg,382
384_3_ADN Lille_59H71_309 (Groot).JPG,384
386_2_ADN Lille_127H30_215.jpeg,386
38_1_SAGent_94_66 (Groot).JPG,38
3_1_ADNLille_B 444_825 (DiBe 22716).JPG,3
409_3_ADN Lille_211H1_2 (Groot).JPG,409
415_1_ADN Lille 31H54_841 (DiBe 22526).jpg,415
42_1_SAGent_94_74.jpg,42
43_2_ADN Lille B 1499_1103.jpeg,43
43_3_ADN Lille B 1499_1103.jpeg,43
446_3_RAGent K14_2987.jpeg,446
446_5_RAGent K14_2987.jpeg,446
44_1_ANParijs_J 540_I-5-22 (Groot).jpg,44
452_2_RAGent K131_5..jpeg,452
453_2_RAGent K131_18.jpeg,453
457_2_RAGent_K16_34.jpeg,457
458_2_RAGent_K16_39.jpeg,458
459_1_ARA T014_2011.jpeg,459
459_2_ARA T014_2011.jpeg,459
462_2_ARA T014_2275.jpeg,462
464_1_RAGent K122_2.jpg,464
468_1_SAGent_94_77.jpeg,468
469_RAKortrijk_23-3_390.jpg,469
470_1_RAGent GW1_140.jpg,470
476_3_ADN Lille_B 1260_868.jpeg,476
477_2_ADN Lille B 1359_1293.jpeg,477
478_2_ADN Lille B 1549_1407.jpeg,478
479_3_ADN Lille B 4033_1431.jpeg,479
47_1_SAGent_94_75.jpeg,47
47_1_SAGent_94_75.jpg,47
482_3_ADN Lille B 4033_1514.jpeg,482
489_AM Lille_PAT-169-3753.jpg,489
490_1_AM Lille_PAT-42-912.jpg,490
491_1_AM Lille_PAT-42-913.jpg,491
493_AM Lille_PAT-155-2857.jpg,493
495_AM Lille_PAT-169-3752.jpg,495
496_AM Lille_PAT-169-3757.jpg,496
497_1_ADNLille_27H 17_273.JPG,497
498_1_ADNLille_30 H 31_590.JPG,498
499_1_ADNLille_30 H 59_938.JPG,499
501_1_ADNLille_31 H 51_819.JPG,501
502_1_ADNLille_36 H 69_788.JPG,502
503_1_ADNLille_40 H 556_1345A.JPG,503
504_1_ADNLille_40 H 556_1345.JPG,504
505_1_ADNLille_40 H 556_1346.JPG,505
506_1_ADNLille_40 H 556_1347.JPG,506
507_1_ADNLille_49 H 19_70.JPG,507
508_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-44.JPG,508
50_1_RABrugge_INV 100_102 (Groot).JPG,50
510_1_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-49.JPG,510
514_1_ADN Lille_Archives hospitalières de Lille I. Hôpital Comtesse Titres isolés-43_2.JPG,514
515_1_ADN Lille_Archives hospitalières de Seclin B 1_1.JPG,515
516_1_ADN Lille_Archives hospitalières de Seclin B 1_2.JPG,516
517_1_ADN Lille_Archives hospitalières de Seclin B 1_3.JPG,517
518_1_ADN Lille_Archives hospitalières de Seclin B 1_4.JPG,518
519_1_ADN Lille_Archives hospitalières de Seclin B 1_8.JPG,519
520_1_ADN Lille_Archives hospitalières de Seclin B 6_183.JPG,520
521_1_ADN Lille_B 1373_973.JPG,521
522_1_ADN Lille_B 1470_842.JPG,522
524_1_ADN Lille_B 1517_895.JPG,524
525_1_ADN Lille_B 1528_835.JPG,525
526_1_ADN Lille_B 1532_834.JPG,526
527_1_ADN Lille_B 1534_827.JPG,527
528_3_ADN Lille B 396_863.jpeg,528
529_ADA Troyes_3H 267.jpg,529
530_2_RA Bergen_AEM.02.144_100.jpeg,530
531_2_RA Bergen_AEM.02.144_101.jpeg,531
535_1_ADN Lille_Archives hospitalières de Lille - I. Hôpital Comtesse - Titres isolés-47_2.jpeg,535
53_2_ADN Lille 1G 254_1584.jpeg,53
53_3_ADN Lille 1G 254_1584.jpeg,53
53_5_ADN Lille 1G 254_1584.jpeg,53
547_1_SAGent_94_65.jpg,547
548_1_SAGent_94_67.jpg,548
549_4_SAGent 94_76.jpeg,549
550_2_ADN Lille B445_1193.jpeg,550
551_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1056.jpeg,551
553_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_988.jpeg,553
555_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_883.jpeg,555
556_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_854.jpeg,556
557_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_851.jpeg,557
558_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_845.jpeg,558
559_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_828.jpeg,559
561_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_826.jpeg,561
562_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_808.jpeg,562
564_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_797.jpeg,564
564_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_797.jpeg,564
566_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_342.jpeg,566
566_3_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_342.jpeg,566
567_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_333.jpeg,567
567_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_333.jpeg,567
570_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1040.jpeg,570
571_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1010.jpeg,571
572_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_983.jpeg,572
573_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_977.jpeg,573
574_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_942.jpeg,574
575_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_325.jpeg,575
575_3_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_325.jpeg,575
576_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_324.jpeg,576
576_3_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_324.jpeg,576
577_2_RAGent K21_151.jpeg,577
577_3_RAGent K21_151.jpeg,577
577_4_RAGent K21_151.jpeg,577
578_2_RAGent K21_183.jpeg,578
579_2_RAGent K21_124.jpeg,579
57_5_ADN Lille B 1508_1627.jpeg,57
580_2_RAGent K21_119.jpeg,580
581_2_RAGent K21_108.jpeg,581
581_3_RAGent K21_108.jpeg,581
582_1_RAGent K99_610.jpeg,582
582_3_RAGent K99_610.jpeg,582
583_1_RAGent K99_726A.jpeg,583
583_2_RAGent K99_726A.jpeg,583
583_3_RAGent K99_726A.jpeg,583
584_1_Archief Grootseminarie Brugge_Fonds Spermalie_20.jpeg,584
585_1_Archief Grootseminarie Brugge_Fonds Spermalie_24.jpeg,585
586_2_RA Bergen_AEM.01.151_7..jpeg,586
586_3_RA Bergen_AEM.01.151_7..jpeg,586
587_2_RA Bergen_AEM.01.151_12.jpeg,587
588_1_RA Bergen_AEM.01.151_14.jpeg,588
588_2_RA Bergen_AEM.01.151_14.jpeg,588
58_1_SAGent_94_89.jpg,58
58_5_SAGent_94_89.jpeg,58
594_2_RAGent K6_5.jpeg,594
595_1_RAGent_GW5_3.jpg,595
597_2_RAGent K95_14.jpeg,597
598_2_RAGent K174_240.jpeg,598
599_2_RAGent K144_43.jpeg,599
599_3_RAGent K144_43.jpeg,599
599_4_RAGent K144_43.jpeg,599
600_2_Bisschoppelijk Archief Brugge A249_271.jpeg,600
601_2_Bisschoppelijk Archief Brugge A249_286.jpeg,601
602_2_Bisschoppelijk Archief Brugge A249_294.jpeg,602
603_2_Bisschoppelijk Archief Brugge A249_302.jpeg,603
604_2_Bisschoppelijk Archief Brugge A249_307.jpeg,604
606_2_Bisschoppelijk Archief Brugge A248_249.jpeg,606
606_3_Bisschoppelijk Archief Brugge A248_249.jpeg,606
607_2_Bisschoppelijk Archief Brugge C354_17.jpeg,607
608_2_Bisschoppelijk Archief Brugge C354_19.jpeg,608
609_2_Bisschoppelijk Archief Brugge C354_20.jpeg,609
609_3_Bisschoppelijk Archief Brugge C354_20.jpeg,609
612_2_Bisschoppelijk Archief Brugge C419_1.jpeg,612
613_2_Bisschoppelijk Archief Brugge C419_8.jpeg,613
613_3_Bisschoppelijk Archief Brugge C419_8.jpeg,613
615_2_RAGent K78_296.jpeg,615
615_3_RAGent K78_296.jpeg,615
615_4_RAGent K78_296.jpeg,615
616_2_RAGent K78_301.jpeg,616
617_2_RAGent K78_399.jpeg,617
617_3_RAGent K78_399.jpeg,617
618_2_RAGent K78_421.jpeg,618
618_3_RAGent K78_421.jpeg,618
619_3_RAGent K78_429.jpeg,619
619_4_RAGent K78_429.jpeg,619
61_4_SAGent_94_92.jpeg,61
61_5_SAGent_94_92.jpeg,61
620_2_RAGent K95_3..jpeg,620
620_3_RAGent K95_3..jpeg,620
621_2_RABrugge INV100_86.jpeg,621
621_3_RABrugge INV100_86.jpeg,621
622_2_RABrugge INV120_7423.jpeg,622
623_2_SABrugge Fonds Veranneman_3.jpeg,623
623_3_SABrugge Fonds Veranneman_3.jpeg,623
624_1_SABrugge Fonds Bogardenschool_Reeks 1_2.jpeg,624
628_3_ADN Lille 4G 215_3104.jpeg,628
628_8_ADN Lille 4G 215_3104.jpeg,628
629_3_ADN Lille 4G 215_3110.jpeg,629
629_4_ADN Lille 4G 215_3110.jpeg,629
62_1_RAGent_K99_828 (Groot).jpeg,62
62_2_RAGent_K99_828 (Groot).jpeg,62
630_2_ADN Lille 30H 14_181.jpeg,630
630_3_ADN Lille 30H 14_181.jpeg,630
631_2_ADN Lille 30H 29_562.jpeg,631
632_3_ADN Lille 36H 360_5099A.jpeg,632
632_4_ADN Lille 36H 360_5099A.jpeg,632
635_2_SAGent Fonds Bijlokehospitaal_7bis..jpeg,635
637_2_ADN Lille B 1062_1493bis.jpeg,637
639_2_ADN Lille B 1345_2357.jpeg,639
639_3_ADN Lille B 1345_2357.jpeg,639
640_2_ADN Lille B 1550_1095bis.jpeg,640
641_2_ADN Lille B 1528_1709.jpeg,641
642_2_ADN Lille 1G 196_1060.jpeg,642
643_2_ADN Lille 16G 269_2398.jpeg,643
643_3_ADN Lille 16G 269_2398.jpeg,643
644_2_ADN Lille 16G 247_2071.jpeg,644
644_3_ADN Lille 16G 247_2071.jpeg,644
645_2_ADN Lille 16G 159_1556.jpeg,645
646_2_ADN Lille 16G 151_1537.jpeg,646
647_2_ADN Lille 16G 148_1519.jpeg,647
648_2_ADN Lille 16G 86_891.jpeg,648
648_3_ADN Lille 16G 86_891.jpeg,648
649_2_ADN Lille 16G 86_892.jpeg,649
649_3_ADN Lille 16G 86_892.jpeg,649
650_2_ADN Lille 16G 124_1325.jpeg,650
651_2_ADN Lille 1G 254_1582.jpeg,651
651_3_ADN Lille 1G 254_1582.jpeg,651
652_3_ADN Lille 38H 14_52.jpeg,652
652_4_ADN Lille 38H 14_52.jpeg,652
652_6_ADN Lille 38H 14_52.jpeg,652
653_2_RAGent K181_10.jpeg,653
6_2_RAGent_K95_6.jpeg,6
74_1_ANParijs_J 540_I-5-24 (Groot).jpg,74
77_8_RABrugge_INV 120_1431-55 (Groot).JPG,77
78_2_RAGent_K6_8 .jpeg,78
79_2_RAGent K99_737.jpeg,79
80_1_ADNLille_B 1332_1351 (Groot).JPG,80
81_1_RAGent GW1_116.jpg,81
82_1_RAGent_GW1_111.jpg,82
84_2_RAGent_K6_9..jpeg,84
86_1_RAGent GW1_121.jpg,86
8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG,8
90_1_RAGent GW1_131.jpg,90
91_2_RAGent_GW2_512.jpg,91
92_1_RAGent GW1_134.jpg,92
93_1_RAGent GW1_135.jpg,93
94_1_RAGent GW1_137.jpg,94
