relative_path,filename,folder,hand_id,doc_id,scan_index,scan_explicit,repository,shelfmark,note,main_document,reason,parse_ok,collision_key
hand/KA_1/615_4_RAGent K78_296.jpeg,615_4_RAGent K78_296.jpeg,hand/KA_1,KA_1,615,4,1,RA Gent,K78_296,,0,sibling_scan_of=615_2_RAGent K78_296.jpeg,1,ra gent|k78 296
hand/KA_1/643_2_ADN Lille 16G 269_2398.jpeg,643_2_ADN Lille 16G 269_2398.jpeg,hand/KA_1,KA_1,643,2,1,ADN Lille,16G 269_2398,,1,,1,adn lille|16g 269 2398
hand/KA_1/643_3_ADN Lille 16G 269_2398.jpeg,643_3_ADN Lille 16G 269_2398.jpeg,hand/KA_1,KA_1,643,3,1,ADN Lille,16G 269_2398,,0,sibling_scan_of=643_2_ADN Lille 16G 269_2398.jpeg,1,adn lille|16g 269 2398
hand/KA_10/105_3_RAGent_K16_40 (Groot).JPG,105_3_RAGent_K16_40 (Groot).JPG,hand/KA_10,KA_10,105,3,1,RA Gent,K16_40,Groot,1,,1,ra gent|k16 40
hand/KA_10/108_2_RAGent_K6_7.jpeg,108_2_RAGent_K6_7.jpeg,hand/KA_10,KA_10,108,2,1,RA Gent,K6_7,,1,,1,ra gent|k6 7
hand/KA_10/129_2_RAGent_K78_409.jpeg,129_2_RAGent_K78_409.jpeg,hand/KA_10,KA_10,129,2,1,RA Gent,K78_409,,1,,1,ra gent|k78 409
hand/KA_10/141_2_RAGent K72_29.jpeg,141_2_RAGent K72_29.jpeg,hand/KA_10,KA_10,141,2,1,RA Gent,K72_29,,1,,1,ra gent|k72 29
hand/KA_10/161_2_ADN Lille B 400_1643.jpeg,161_2_ADN Lille B 400_1643.jpeg,hand/KA_10,KA_10,161,2,1,ADN Lille,B 400_1643,,1,,1,adn lille|b 400 1643
hand/KA_10/161_4_ADN Lille B 400_1643.jpeg,161_4_ADN Lille B 400_1643.jpeg,hand/KA_10,KA_10,161,4,1,ADN Lille,B 400_1643,,0,sibling_scan_of=161_2_ADN Lille B 400_1643.jpeg,1,adn lille|b 400 1643
hand/KA_10/166_2_ADNLille_B 496_1298 .jpeg,166_2_ADNLille_B 496_1298 .jpeg,hand/KA_10,KA_10,166,2,1,ADN Lille,B 496_1298,,1,,1,adn lille|b 496 1298
hand/KA_10/30_2_RABrugge_INV 120_7435 .jpeg,30_2_RABrugge_INV 120_7435 .jpeg,hand/KA_10,KA_10,30,2,1,RA Brugge,INV 120_7435,,1,,1,ra brugge|inv 120 7435
hand/KA_10/320_2_ADN Lille_31H82_1483 (Groot).JPG,320_2_ADN Lille_31H82_1483 (Groot).JPG,hand/KA_10,KA_10,320,2,1,ADN Lille,31H82_1483,Groot,1,,1,adn lille|31h82 1483
hand/KA_10/342_1_ADN Lille_33H56_997 (Groot).JPG,342_1_ADN Lille_33H56_997 (Groot).JPG,hand/KA_10,KA_10,342,1,1,ADN Lille,33H56_997,Groot,1,,1,adn lille|33h56 997
hand/KA_10/42_1_SAGent_94_74.jpg,42_1_SAGent_94_74.jpg,hand/KA_10,KA_10,42,1,1,SA Gent,94_74,,1,,1,sa gent|94 74
hand/KA_10/458_2_RAGent_K16_39.jpeg,458_2_RAGent_K16_39.jpeg,hand/KA_10,KA_10,458,2,1,RA Gent,K16_39,,1,,1,ra gent|k16 39
hand/KA_10/521_1_ADN Lille_B 1373_973.JPG,521_1_ADN Lille_B 1373_973.JPG,hand/KA_10,KA_10,521,1,1,ADN Lille,B 1373_973,,1,,1,adn lille|b 1373 973
hand/KA_10/551_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1056.jpeg,551_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1056.jpeg,hand/KA_10,KA_10,551,2,1,Archief Grootseminarie Brugge,Fonds Ten Duinen-Ter Doest_1056,,1,,1,archief grootseminarie brugge|fonds ten duinen-ter doest 1056
hand/KA_10/571_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1010.jpeg,571_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1010.jpeg,hand/KA_10,KA_10,571,2,1,Archief Grootseminarie Brugge,Fonds Ten Duinen-Ter Doest_1010,,1,,1,archief grootseminarie brugge|fonds ten duinen-ter doest 1010
hand/KA_10/572_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_983.jpeg,572_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_983.jpeg,hand/KA_10,KA_10,572,2,1,Archief Grootseminarie Brugge,Fonds Ten Duinen-Ter Doest_983,,1,,1,archief grootseminarie brugge|fonds ten duinen-ter doest 983
hand/KA_10/573_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_977.jpeg,573_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_977.jpeg,hand/KA_10,KA_10,573,2,1,Archief Grootseminarie Brugge,Fonds Ten Duinen-Ter Doest_977,,1,,1,archief grootseminarie brugge|fonds ten duinen-ter doest 977
hand/KA_10/583_1_RAGent K99_726A.jpeg,583_1_RAGent K99_726A.jpeg,hand/KA_10,KA_10,583,1,1,RA Gent,K99_726A,,1,,1,ra gent|k99 726a
hand/KA_10/583_2_RAGent K99_726A.jpeg,583_2_RAGent K99_726A.jpeg,hand/KA_10,KA_10,583,2,1,RA Gent,K99_726A,,0,sibling_scan_of=583_1_RAGent K99_726A.jpeg,1,ra gent|k99 726a
hand/KA_10/583_3_RAGent K99_726A.jpeg,583_3_RAGent K99_726A.jpeg,hand/KA_10,KA_10,583,3,1,RA Gent,K99_726A,,0,sibling_scan_of=583_1_RAGent K99_726A.jpeg,1,ra gent|k99 726a
hand/KA_10/588_1_RA Bergen_AEM.01.151_14.jpeg,588_1_RA Bergen_AEM.01.151_14.jpeg,hand/KA_10,KA_10,588,1,1,RA Bergen,AEM.01.151_14,,1,,1,ra bergen|aem 01 151 14
hand/KA_10/588_2_RA Bergen_AEM.01.151_14.jpeg,588_2_RA Bergen_AEM.01.151_14.jpeg,hand/KA_10,KA_10,588,2,1,RA Bergen,AEM.01.151_14,,0,sibling_scan_of=588_1_RA Bergen_AEM.01.151_14.jpeg,1,ra bergen|aem 01 151 14
hand/KA_10/597_2_RAGent K95_14.jpeg,597_2_RAGent K95_14.jpeg,hand/KA_10,KA_10,597,2,1,RA Gent,K95_14,,1,,1,ra gent|k95 14
hand/KA_10/598_2_RAGent K174_240.jpeg,598_2_RAGent K174_240.jpeg,hand/KA_10,KA_10,598,2,1,RA Gent,K174_240,,1,,1,ra gent|k174 240
hand/KA_10/607_2_Bisschoppelijk Archief Brugge C354_17.jpeg,607_2_Bisschoppelijk Archief Brugge C354_17.jpeg,hand/KA_10,KA_10,607,2,1,Bisschoppelijk Archief Brugge,C354_17,,1,,1,bisschoppelijk archief brugge|c354 17
hand/KA_10/609_2_Bisschoppelijk Archief Brugge C354_20.jpeg,609_2_Bisschoppelijk Archief Brugge C354_20.jpeg,hand/KA_10,KA_10,609,2,1,Bisschoppelijk Archief Brugge,C354_20,,1,,1,bisschoppelijk archief brugge|c354 20
hand/KA_10/609_3_Bisschoppelijk Archief Brugge C354_20.jpeg,609_3_Bisschoppelijk Archief Brugge C354_20.jpeg,hand/KA_10,KA_10,609,3,1,Bisschoppelijk Archief Brugge,C354_20,,0,sibling_scan_of=609_2_Bisschoppelijk Archief Brugge C354_20.jpeg,1,bisschoppelijk archief brugge|c354 20
hand/KA_10/613_2_Bisschoppelijk Archief Brugge C419_8.jpeg,613_2_Bisschoppelijk Archief Brugge C419_8.jpeg,hand/KA_10,KA_10,613,2,1,Bisschoppelijk Archief Brugge,C419_8,,1,,1,bisschoppelijk archief brugge|c419 8
hand/KA_10/613_3_Bisschoppelijk Archief Brugge C419_8.jpeg,613_3_Bisschoppelijk Archief Brugge C419_8.jpeg,hand/KA_10,KA_10,613,3,1,Bisschoppelijk Archief Brugge,C419_8,,0,sibling_scan_of=613_2_Bisschoppelijk Archief Brugge C419_8.jpeg,1,bisschoppelijk archief brugge|c419 8
hand/KA_10/617_2_RAGent K78_399.jpeg,617_2_RAGent K78_399.jpeg,hand/KA_10,KA_10,617,2,1,RA Gent,K78_399,,1,,1,ra gent|k78 399
hand/KA_10/617_3_RAGent K78_399.jpeg,617_3_RAGent K78_399.jpeg,hand/KA_10,KA_10,617,3,1,RA Gent,K78_399,,0,sibling_scan_of=617_2_RAGent K78_399.jpeg,1,ra gent|k78 399
hand/KA_10/618_2_RAGent K78_421.jpeg,618_2_RAGent K78_421.jpeg,hand/KA_10,KA_10,618,2,1,RA Gent,K78_421,,1,,1,ra gent|k78 421
hand/KA_10/618_3_RAGent K78_421.jpeg,618_3_RAGent K78_421.jpeg,hand/KA_10,KA_10,618,3,1,RA Gent,K78_421,,0,sibling_scan_of=618_2_RAGent K78_421.jpeg,1,ra gent|k78 421
hand/KA_10/619_3_RAGent K78_429.jpeg,619_3_RAGent K78_429.jpeg,hand/KA_10,KA_10,619,3,1,RA Gent,K78_429,,1,,1,ra gent|k78 429
hand/KA_10/619_4_RAGent K78_429.jpeg,619_4_RAGent K78_429.jpeg,hand/KA_10,KA_10,619,4,1,RA Gent,K78_429,,0,sibling_scan_of=619_3_RAGent K78_429.jpeg,1,ra gent|k78 429
hand/KA_10/61_4_SAGent_94_92.jpeg,61_4_SAGent_94_92.jpeg,hand/KA_10,KA_10,61,4,1,SA Gent,94_92,,1,,1,sa gent|94 92
hand/KA_10/61_5_SAGent_94_92.jpeg,61_5_SAGent_94_92.jpeg,hand/KA_10,KA_10,61,5,1,SA Gent,94_92,,0,sibling_scan_of=61_4_SAGent_94_92.jpeg,1,sa gent|94 92
hand/KA_10/620_2_RAGent K95_3..jpeg,620_2_RAGent K95_3..jpeg,hand/KA_10,KA_10,620,2,1,RA Gent,K95_3,,1,,1,ra gent|k95 3
hand/KA_10/620_3_RAGent K95_3..jpeg,620_3_RAGent K95_3..jpeg,hand/KA_10,KA_10,620,3,1,RA Gent,K95_3,,0,sibling_scan_of=620_2_RAGent K95_3..jpeg,1,ra gent|k95 3
hand/KA_10/637_2_ADN Lille B 1062_1493bis.jpeg,637_2_ADN Lille B 1062_1493bis.jpeg,hand/KA_10,KA_10,637,2,1,ADN Lille,B 1062_1493bis,,1,,1,adn lille|b 1062 1493bis
hand/KA_10/651_2_ADN Lille 1G 254_1582.jpeg,651_2_ADN Lille 1G 254_1582.jpeg,hand/KA_10,KA_10,651,2,1,ADN Lille,1G 254_1582,,1,,1,adn lille|1g 254 1582
hand/KA_10/651_3_ADN Lille 1G 254_1582.jpeg,651_3_ADN Lille 1G 254_1582.jpeg,hand/KA_10,KA_10,651,3,1,ADN Lille,1G 254_1582,,0,sibling_scan_of=651_2_ADN Lille 1G 254_1582.jpeg,1,adn lille|1g 254 1582
hand/KA_10/84_2_RAGent_K6_9..jpeg,84_2_RAGent_K6_9..jpeg,hand/KA_10,KA_10,84,2,1,RA Gent,K6_9,,1,,1,ra gent|k6 9
hand/KA_10/90_1_RAGent GW1_131.jpg,90_1_RAGent GW1_131.jpg,hand/KA_10,KA_10,90,1,1,RA Gent,GW1_131,,1,,1,ra gent|gw1 131
hand/KA_10/92_1_RAGent GW1_134.jpg,92_1_RAGent GW1_134.jpg,hand/KA_10,KA_10,92,1,1,RA Gent,GW1_134,,1,,1,ra gent|gw1 134
hand/KA_11/202_1_ADN Lille_1H 218_2500 (Groot).JPG,202_1_ADN Lille_1H 218_2500 (Groot).JPG,hand/KA_11,KA_11,202,1,1,ADN Lille,1H 218_2500,Groot,1,,1,adn lille|1h 218 2500
hand/KA_11/553_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_988.jpeg,553_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_988.jpeg,hand/KA_11,KA_11,553,2,1,Archief Grootseminarie Brugge,Fonds Ten Duinen-Ter Doest_988,,1,,1,archief grootseminarie brugge|fonds ten duinen-ter doest 988
hand/KA_11/578_2_RAGent K21_183.jpeg,578_2_RAGent K21_183.jpeg,hand/KA_11,KA_11,578,2,1,RA Gent,K21_183,,1,,1,ra gent|k21 183
hand/KA_2/127_2_RAGent_K131_4.jpeg,127_2_RAGent_K131_4.jpeg,hand/KA_2,KA_2,127,2,1,RA Gent,K131_4,,1,,1,ra gent|k131 4
hand/KA_2/220_2_ADN Lille_4G 708_6984 (Groot).JPG,220_2_ADN Lille_4G 708_6984 (Groot).JPG,hand/KA_2,KA_2,220,2,1,ADN Lille,4G 708_6984,Groot,1,,1,adn lille|4g 708 6984
hand/KA_2/476_3_ADN Lille_B 1260_868.jpeg,476_3_ADN Lille_B 1260_868.jpeg,hand/KA_2,KA_2,476,3,1,ADN Lille,B 1260_868,,1,,1,adn lille|b 1260 868
hand/KA_2/510_1_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-49.JPG,510_1_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-49.JPG,hand/KA_2,KA_2,510,1,1,ADN Lille,Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-49,,1,,1,adn lille|archives hospitalières de la ville de lille - i hôpital comtesse - titres isolés-49
hand/KA_2/514_1_ADN Lille_Archives hospitalières de Lille I. Hôpital Comtesse Titres isolés-43_2.JPG,514_1_ADN Lille_Archives hospitalières de Lille I. Hôpital Comtesse Titres isolés-43_2.JPG,hand/KA_2,KA_2,514,1,1,ADN Lille,Archives hospitalières de Lille I. Hôpital Comtesse Titres isolés-43_2,,1,,1,adn lille|archives hospitalières de lille i hôpital comtesse titres isolés-43 2
hand/KA_2/526_1_ADN Lille_B 1532_834.JPG,526_1_ADN Lille_B 1532_834.JPG,hand/KA_2,KA_2,526,1,1,ADN Lille,B 1532_834,,1,,1,adn lille|b 1532 834
hand/KA_2/528_3_ADN Lille B 396_863.jpeg,528_3_ADN Lille B 396_863.jpeg,hand/KA_2,KA_2,528,3,1,ADN Lille,B 396_863,,1,,1,adn lille|b 396 863
hand/KA_2/530_2_RA Bergen_AEM.02.144_100.jpeg,530_2_RA Bergen_AEM.02.144_100.jpeg,hand/KA_2,KA_2,530,2,1,RA Bergen,AEM.02.144_100,,1,,1,ra bergen|aem 02 144 100
hand/KA_2/635_2_SAGent Fonds Bijlokehospitaal_7bis..jpeg,635_2_SAGent Fonds Bijlokehospitaal_7bis..jpeg,hand/KA_2,KA_2,635,2,1,SA Gent,Fonds Bijlokehospitaal_7bis,,1,,1,sa gent|fonds bijlokehospitaal 7bis
hand/KA_2/8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG,8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG,hand/KA_2,KA_2,8,1,1,ADN Lille,B 1016_830,DiBe 27608,1,,1,adn lille|b 1016 830
hand/KA_3/507_1_ADNLille_49 H 19_70.JPG,507_1_ADNLille_49 H 19_70.JPG,hand/KA_3,KA_3,507,1,1,ADN Lille,49 H 19_70,,1,,1,adn lille|49 h 19 70
hand/KA_3/508_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-44.JPG,508_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-44.JPG,hand/KA_3,KA_3,508,1,0,ADN Lille,Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-44,,1,,1,adn lille|archives hospitalières de la ville de lille - i hôpital comtesse - titres isolés-44
hand/KA_4/11_2_RAGent K99_578.jpeg,11_2_RAGent K99_578.jpeg,hand/KA_4,KA_4,11,2,1,RA Gent,K99_578,,1,,1,ra gent|k99 578
hand/KA_4/180_2_ADN Lille 1G 91_211.jpeg,180_2_ADN Lille 1G 91_211.jpeg,hand/KA_4,KA_4,180,2,1,ADN Lille,1G 91_211,,1,,1,adn lille|1g 91 211
hand/KA_5/14_4_ANParijs_J 540_I-5-18 (Groot).jpg,14_4_ANParijs_J 540_I-5-18 (Groot).jpg,hand/KA_5,KA_5,14,4,1,AN Paris,J 540_I-5-18,Groot,1,,1,an paris|j 540 i-5-18
hand/KA_5/1_8_ANParijs_J537_I-5-6 (Groot).jpg,1_8_ANParijs_J537_I-5-6 (Groot).jpg,hand/KA_5,KA_5,1,8,1,AN Paris,J537_I-5-6,Groot,1,,1,an paris|j537 i-5-6
hand/KA_5/252_1_ADN Lille_30H17_250.JPG,252_1_ADN Lille_30H17_250.JPG,hand/KA_5,KA_5,252,1,1,ADN Lille,30H17_250,,1,,1,adn lille|30h17 250
hand/KA_5/527_1_ADN Lille_B 1534_827.JPG,527_1_ADN Lille_B 1534_827.JPG,hand/KA_5,KA_5,527,1,1,ADN Lille,B 1534_827,,1,,1,adn lille|b 1534 827
hand/KA_6/2_3_ADN Lille B 444_816.jpeg,2_3_ADN Lille B 444_816.jpeg,hand/KA_6,KA_6,2,3,1,ADN Lille,B 444_816,,1,,1,adn lille|b 444 816
hand/KA_6/3_1_ADNLille_B 444_825 (DiBe 22716).JPG,3_1_ADNLille_B 444_825 (DiBe 22716).JPG,hand/KA_6,KA_6,3,1,1,ADN Lille,B 444_825,DiBe 22716,1,,1,adn lille|b 444 825
hand/KA_6/493_AM Lille_PAT-155-2857.jpg,493_AM Lille_PAT-155-2857.jpg,hand/KA_6,KA_6,493,1,0,AM Lille,PAT-155-2857,,1,,1,am lille|pat-155-2857
hand/KA_6/499_1_ADNLille_30 H 59_938.JPG,499_1_ADNLille_30 H 59_938.JPG,hand/KA_6,KA_6,499,1,1,ADN Lille,30 H 59_938,,1,,1,adn lille|30 h 59 938
hand/KA_6/504_1_ADNLille_40 H 556_1345.JPG,504_1_ADNLille_40 H 556_1345.JPG,hand/KA_6,KA_6,504,1,1,ADN Lille,40 H 556_1345,,1,,1,adn lille|40 h 556 1345
hand/KA_6/525_1_ADN Lille_B 1528_835.JPG,525_1_ADN Lille_B 1528_835.JPG,hand/KA_6,KA_6,525,1,1,ADN Lille,B 1528_835,,1,,1,adn lille|b 1528 835
hand/KA_6/6_2_RAGent_K95_6.jpeg,6_2_RAGent_K95_6.jpeg,hand/KA_6,KA_6,6,2,1,RA Gent,K95_6,,1,,1,ra gent|k95 6
hand/KA_7/16_2_RAGent_K14_36.jpeg,16_2_RAGent_K14_36.jpeg,hand/KA_7,KA_7,16,2,1,RA Gent,K14_36,,1,,1,ra gent|k14 36
hand/KA_7/209_3_ADN Lille 1H 399_3661.jpeg,209_3_ADN Lille 1H 399_3661.jpeg,hand/KA_7,KA_7,209,3,1,ADN Lille,1H 399_3661,,1,,1,adn lille|1h 399 3661
hand/KA_7/21_1_RAGent_K32_14 (Groot).JPG,21_1_RAGent_K32_14 (Groot).JPG,hand/KA_7,KA_7,21,1,1,RA Gent,K32_14,Groot,1,,1,ra gent|k32 14
hand/KA_7/253_1_ADN Lille_30H 17_253 (Groot).JPG,253_1_ADN Lille_30H 17_253 (Groot).JPG,hand/KA_7,KA_7,253,1,1,ADN Lille,30H 17_253,Groot,1,,1,adn lille|30h 17 253
hand/KA_7/281_3_ADN Lille_31H13_176.jpeg,281_3_ADN Lille_31H13_176.jpeg,hand/KA_7,KA_7,281,3,1,ADN Lille,31H13_176,,1,,1,adn lille|31h13 176
hand/KA_7/282_1_ADN Lille_31H 13_177.jpeg,282_1_ADN Lille_31H 13_177.jpeg,hand/KA_7,KA_7,282,1,1,ADN Lille,31H 13_177,,1,,1,adn lille|31h 13 177
hand/KA_7/283_1_ADN Lille_31H 13_178 .JPG,283_1_ADN Lille_31H 13_178 .JPG,hand/KA_7,KA_7,283,1,1,ADN Lille,31H 13_178,,1,,1,adn lille|31h 13 178
hand/KA_7/284_2_ADN Lille 31H 13_179.jpeg,284_2_ADN Lille 31H 13_179.jpeg,hand/KA_7,KA_7,284,2,1,ADN Lille,31H 13_179,,1,,1,adn lille|31h 13 179
hand/KA_7/285_2_ADN Lille 31H 13_180.jpeg,285_2_ADN Lille 31H 13_180.jpeg,hand/KA_7,KA_7,285,2,1,ADN Lille,31H 13_180,,1,,1,adn lille|31h 13 180
hand/KA_7/289_1_ADN Lille_31H 13_189 (Groot).JPG,289_1_ADN Lille_31H 13_189 (Groot).JPG,hand/KA_7,KA_7,289,1,1,ADN Lille,31H 13_189,Groot,1,,1,adn lille|31h 13 189
hand/KA_7/290_1_ADN Lille 31H 13_190.jpeg,290_1_ADN Lille 31H 13_190.jpeg,hand/KA_7,KA_7,290,1,1,ADN Lille,31H 13_190,,1,,1,adn lille|31h 13 190
hand/KA_7/291_1_ADN Lille 31H 13_191.jpeg,291_1_ADN Lille 31H 13_191.jpeg,hand/KA_7,KA_7,291,1,1,ADN Lille,31H 13_191,,1,,1,adn lille|31h 13 191
hand/KA_7/313_1_ADN Lille_31H63_972 (Groot).JPG,313_1_ADN Lille_31H63_972 (Groot).JPG,hand/KA_7,KA_7,313,1,1,ADN Lille,31H63_972,Groot,1,,1,adn lille|31h63 972
hand/KA_7/319_1_ADN Lille 31H 75_1334.jpeg,319_1_ADN Lille 31H 75_1334.jpeg,hand/KA_7,KA_7,319,1,1,ADN Lille,31H 75_1334,,1,,1,adn lille|31h 75 1334
hand/KA_7/346_1_ADN Lille 33H 62_1104.jpeg,346_1_ADN Lille 33H 62_1104.jpeg,hand/KA_7,KA_7,346,1,1,ADN Lille,33H 62_1104,,1,,1,adn lille|33h 62 1104
hand/KA_7/347_1_ADN Lille 33H 62_1105.jpeg,347_1_ADN Lille 33H 62_1105.jpeg,hand/KA_7,KA_7,347,1,1,ADN Lille,33H 62_1105,,1,,1,adn lille|33h 62 1105
hand/KA_7/469_RAKortrijk_23-3_390.jpg,469_RAKortrijk_23-3_390.jpg,hand/KA_7,KA_7,469,1,0,RA Kortrijk,23-3_390,,1,,1,ra kortrijk|23-3 390
hand/KA_7/497_1_ADNLille_27H 17_273.JPG,497_1_ADNLille_27H 17_273.JPG,hand/KA_7,KA_7,497,1,1,ADN Lille,27H 17_273,,1,,1,adn lille|27h 17 273
hand/KA_7/518_1_ADN Lille_Archives hospitalières de Seclin B 1_4.JPG,518_1_ADN Lille_Archives hospitalières de Seclin B 1_4.JPG,hand/KA_7,KA_7,518,1,1,ADN Lille,Archives hospitalières de Seclin B 1_4,,1,,1,adn lille|archives hospitalières de seclin b 1 4
hand/KA_7/524_1_ADN Lille_B 1517_895.JPG,524_1_ADN Lille_B 1517_895.JPG,hand/KA_7,KA_7,524,1,1,ADN Lille,B 1517_895,,1,,1,adn lille|b 1517 895
hand/KA_7/646_2_ADN Lille 16G 151_1537.jpeg,646_2_ADN Lille 16G 151_1537.jpeg,hand/KA_7,KA_7,646,2,1,ADN Lille,16G 151_1537,,1,,1,adn lille|16g 151 1537
hand/KA_8/107_2_RAGent_K6_6.jpeg,107_2_RAGent_K6_6.jpeg,hand/KA_8,KA_8,107,2,1,RA Gent,K6_6,,1,,1,ra gent|k6 6
hand/KA_8/10_1_ADN Lille_ B1517_895bis.JPG,10_1_ADN Lille_ B1517_895bis.JPG,hand/KA_8,KA_8,10,1,1,ADN Lille,B1517_895bis,,1,,1,adn lille|b1517 895bis
hand/KA_8/121_2_RAGent_K32_17.jpeg,121_2_RAGent_K32_17.jpeg,hand/KA_8,KA_8,121,2,1,RA Gent,K32_17,,1,,1,ra gent|k32 17
hand/KA_8/123_1_RAGent K32_19bis (FACSIMILE).jpeg,123_1_RAGent K32_19bis (FACSIMILE).jpeg,hand/KA_8,KA_8,123,1,1,RA Gent,K32_19bis,FACSIMILE,1,,1,ra gent|k32 19bis
hand/KA_8/131_2_RAGent_K78_402.jpeg,131_2_RAGent_K78_402.jpeg,hand/KA_8,KA_8,131,2,1,RA Gent,K78_402,,1,,1,ra gent|k78 402
hand/KA_8/139_2_RAGent K21_182.jpeg,139_2_RAGent K21_182.jpeg,hand/KA_8,KA_8,139,2,1,RA Gent,K21_182,,1,,1,ra gent|k21 182
hand/KA_8/147_2_RAGent K133_80.jpeg,147_2_RAGent K133_80.jpeg,hand/KA_8,KA_8,147,2,1,RA Gent,K133_80,,1,,1,ra gent|k133 80
hand/KA_8/148_2_RAGent_K137_49bis.jpeg,148_2_RAGent_K137_49bis.jpeg,hand/KA_8,KA_8,148,2,1,RA Gent,K137_49bis,,1,,1,ra gent|k137 49bis
hand/KA_8/148_3_RAGent_K137_49bis.jpeg,148_3_RAGent_K137_49bis.jpeg,hand/KA_8,KA_8,148,3,1,RA Gent,K137_49bis,,0,sibling_scan_of=148_2_RAGent_K137_49bis.jpeg,1,ra gent|k137 49bis
hand/KA_8/151_2_RABrugge_INV 120_6738.jpeg,151_2_RABrugge_INV 120_6738.jpeg,hand/KA_8,KA_8,151,2,1,RA Brugge,INV 120_6738,,1,,1,ra brugge|inv 120 6738
hand/KA_8/151_3_RABrugge_INV 120_6738.jpeg,151_3_RABrugge_INV 120_6738.jpeg,hand/KA_8,KA_8,151,3,1,RA Brugge,INV 120_6738,,0,sibling_scan_of=151_2_RABrugge_INV 120_6738.jpeg,1,ra brugge|inv 120 6738
hand/KA_8/153_2_RABrugge_INV 120_7115.jpeg,153_2_RABrugge_INV 120_7115.jpeg,hand/KA_8,KA_8,153,2,1,RA Brugge,INV 120_7115,,1,,1,ra brugge|inv 120 7115
hand/KA_8/156_2_ADN Lille B 445_1208.jpeg,156_2_ADN Lille B 445_1208.jpeg,hand/KA_8,KA_8,156,2,1,ADN Lille,B 445_1208,,1,,1,adn lille|b 445 1208
hand/KA_8/156_5_ADN Lille B 445_1208.jpeg,156_5_ADN Lille B 445_1208.jpeg,hand/KA_8,KA_8,156,5,1,ADN Lille,B 445_1208,,0,sibling_scan_of=156_2_ADN Lille B 445_1208.jpeg,1,adn lille|b 445 1208
