filename,hand_id
409_3_ADN Lille_211H1_2 (Groot).JPG,KA_8
415_1_ADN Lille 31H54_841 (DiBe 22526).jpg,KA_8
42_1_SAGent_94_74.jpg,KA_10
43_2_ADN Lille B 1499_1103.jpeg,KA_8
43_3_ADN Lille B 1499_1103.jpeg,KA_8
446_3_RAGent K14_2987.jpeg,KA_8
446_5_RAGent K14_2987.jpeg,KA_8
44_1_ANParijs_J 540_I-5-22 (Groot).jpg,KA_8
458_2_RAGent_K16_39.jpeg,KA_10
459_1_ARA T014_2011.jpeg,KA_8
459_2_ARA T014_2011.jpeg,KA_8
462_2_ARA T014_2275.jpeg,KA_9
464_1_RAGent K122_2.jpg,KA_9
468_1_SAGent_94_77.jpeg,KA_8
469_RAKortrijk_23-3_390.jpg,KA_7
476_3_ADN Lille_B 1260_868.jpeg,KA_2
477_2_ADN Lille B 1359_1293.jpeg,KA_8
47_1_SAGent_94_75.jpeg,KA_9
47_1_SAGent_94_75.jpg,KA_9
482_3_ADN Lille B 4033_1514.jpeg,KA_8
489_AM Lille_PAT-169-3753.jpg,KA_9
493_AM Lille_PAT-155-2857.jpg,KA_6
497_1_ADNLille_27H 17_273.JPG,KA_7
499_1_ADNLille_30 H 59_938.JPG,KA_6
504_1_ADNLille_40 H 556_1345.JPG,KA_6
507_1_ADNLille_49 H 19_70.JPG,KA_3
508_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-44.JPG,KA_3
50_1_RABrugge_INV 100_102 (Groot).JPG,KA_8
510_1_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-49.JPG,KA_2
514_1_ADN Lille_Archives hospitalières de Lille I. Hôpital Comtesse Titres isolés-43_2.JPG,KA_2
517_1_ADN Lille_Archives hospitalières de Seclin B 1_3.JPG,KA_9
518_1_ADN Lille_Archives hospitalières de Seclin B 1_4.JPG,KA_7
520_1_ADN Lille_Archives hospitalières de Seclin B 6_183.JPG,KA_8
521_1_ADN Lille_B 1373_973.JPG,KA_10
524_1_ADN Lille_B 1517_895.JPG,KA_7
525_1_ADN Lille_B 1528_835.JPG,KA_6
526_1_ADN Lille_B 1532_834.JPG,KA_2
527_1_ADN Lille_B 1534_827.JPG,KA_5
528_3_ADN Lille B 396_863.jpeg,KA_2
530_2_RA Bergen_AEM.02.144_100.jpeg,KA_2
53_2_ADN Lille 1G 254_1584.jpeg,KA_8
53_3_ADN Lille 1G 254_1584.jpeg,KA_8
53_5_ADN Lille 1G 254_1584.jpeg,KA_8
547_1_SAGent_94_65.jpg,KA_9
548_1_SAGent_94_67.jpg,KA_9
549_4_SAGent 94_76.jpeg,KA_8
550_2_ADN Lille B445_1193.jpeg,KA_8
551_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1056.jpeg,KA_10
553_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_988.jpeg,KA_11
555_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_883.jpeg,KA_8
556_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_854.jpeg,KA_8
557_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_851.jpeg,KA_8
558_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_845.jpeg,KA_9
559_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_828.jpeg,KA_9
562_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_808.jpeg,KA_9
564_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_797.jpeg,KA_8
564_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_797.jpeg,KA_8
570_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1040.jpeg,KA_8
571_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1010.jpeg,KA_10
572_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_983.jpeg,KA_10
573_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_977.jpeg,KA_10
574_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_942.jpeg,KA_8
577_2_RAGent K21_151.jpeg,KA_8
577_3_RAGent K21_151.jpeg,KA_8
577_4_RAGent K21_151.jpeg,KA_8
578_2_RAGent K21_183.jpeg,KA_11
579_2_RAGent K21_124.jpeg,KA_1
581_2_RAGent K21_108.jpeg,KA_1
581_3_RAGent K21_108.jpeg,KA_1
583_1_RAGent K99_726A.jpeg,KA_10
583_2_RAGent K99_726A.jpeg,KA_10
583_3_RAGent K99_726A.jpeg,KA_10
587_2_RA Bergen_AEM.01.151_12.jpeg,KA_8
588_1_RA Bergen_AEM.01.151_14.jpeg,KA_10
588_2_RA Bergen_AEM.01.151_14.jpeg,KA_10
58_1_SAGent_94_89.jpg,KA_8
58_5_SAGent_94_89.jpeg,KA_8
594_2_RAGent K6_5.jpeg,KA_8
597_2_RAGent K95_14.jpeg,KA_10
598_2_RAGent K174_240.jpeg,KA_10
599_2_RAGent K144_43.jpeg,KA_8
599_3_RAGent K144_43.jpeg,KA_8
599_4_RAGent K144_43.jpeg,KA_8
601_2_Bisschoppelijk Archief Brugge A249_286.jpeg,KA_8
602_2_Bisschoppelijk Archief Brugge A249_294.jpeg,KA_8
604_2_Bisschoppelijk Archief Brugge A249_307.jpeg,KA_8
607_2_Bisschoppelijk Archief Brugge C354_17.jpeg,KA_10
609_2_Bisschoppelijk Archief Brugge C354_20.jpeg,KA_10
609_3_Bisschoppelijk Archief Brugge C354_20.jpeg,KA_10
613_2_Bisschoppelijk Archief Brugge C419_8.jpeg,KA_10
613_3_Bisschoppelijk Archief Brugge C419_8.jpeg,KA_10
615_2_RAGent K78_296.jpeg,KA_1
615_3_RAGent K78_296.jpeg,KA_1
615_4_RAGent K78_296.jpeg,KA_1
617_2_RAGent K78_399.jpeg,KA_10
617_3_RAGent K78_399.jpeg,KA_10
618_2_RAGent K78_421.jpeg,KA_10
618_3_RAGent K78_421.jpeg,KA_10
619_3_RAGent K78_429.jpeg,KA_10
619_4_RAGent K78_429.jpeg,KA_10
61_4_SAGent_94_92.jpeg,KA_10
61_5_SAGent_94_92.jpeg,KA_10
620_2_RAGent K95_3..jpeg,KA_10
620_3_RAGent K95_3..jpeg,KA_10
623_2_SABrugge Fonds Veranneman_3.jpeg,KA_8
623_3_SABrugge Fonds Veranneman_3.jpeg,KA_8
624_1_SABrugge Fonds Bogardenschool_Reeks 1_2.jpeg,KA_9
62_1_RAGent_K99_828 (Groot).jpeg,KA_8
62_2_RAGent_K99_828 (Groot).jpeg,KA_8
631_2_ADN Lille 30H 29_562.jpeg,KA_8
632_3_ADN Lille 36H 360_5099A.jpeg,KA_8
632_4_ADN Lille 36H 360_5099A.jpeg,KA_8
635_2_SAGent Fonds Bijlokehospitaal_7bis..jpeg,KA_2
637_2_ADN Lille B 1062_1493bis.jpeg,KA_10
639_2_ADN Lille B 1345_2357.jpeg,KA_8
639_3_ADN Lille B 1345_2357.jpeg,KA_8
640_2_ADN Lille B 1550_1095bis.jpeg,KA_8
641_2_ADN Lille B 1528_1709.jpeg,KA_8
642_2_ADN Lille 1G 196_1060.jpeg,KA_8
643_2_ADN Lille 16G 269_2398.jpeg,KA_1
643_3_ADN Lille 16G 269_2398.jpeg,KA_1
645_2_ADN Lille 16G 159_1556.jpeg,KA_8
646_2_ADN Lille 16G 151_1537.jpeg,KA_7
648_2_ADN Lille 16G 86_891.jpeg,KA_8
648_3_ADN Lille 16G 86_891.jpeg,KA_8
649_2_ADN Lille 16G 86_892.jpeg,KA_8
649_3_ADN Lille 16G 86_892.jpeg,KA_8
650_2_ADN Lille 16G 124_1325.jpeg,KA_8
651_2_ADN Lille 1G 254_1582.jpeg,KA_10
651_3_ADN Lille 1G 254_1582.jpeg,KA_10
652_3_ADN Lille 38H 14_52.jpeg,KA_8
652_4_ADN Lille 38H 14_52.jpeg,KA_8
652_6_ADN Lille 38H 14_52.jpeg,KA_8
653_2_RAGent K181_10.jpeg,KA_8
6_2_RAGent_K95_6.jpeg,KA_6
74_1_ANParijs_J 540_I-5-24 (Groot).jpg,KA_8
77_8_RABrugge_INV 120_1431-55 (Groot).JPG,KA_9
80_1_ADNLille_B 1332_1351 (Groot).JPG,KA_8
84_2_RAGent_K6_9..jpeg,KA_10
8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG,KA_2
90_1_RAGent GW1_131.jpg,KA_10
92_1_RAGent GW1_134.jpg,KA_10
93_1_RAGent GW1_135.jpg,KA_8
