doc_id,n_files,n_filenames,n_scans,keep_filename,drop_filenames,hands,repository,shelfmark,main_relative_path
19,1,1,1,19_2_RAGent_K78_294.jpeg,,,RA Gent,K78_294,unattributed/19_2_RAGent_K78_294.jpeg
20,1,1,1,20_2_RABrugge_INV 14_15.jpeg,,,RA Brugge,INV 14_15,unattributed/20_2_RABrugge_INV 14_15.jpeg
21,1,1,1,21_1_RAGent_K32_14 (Groot).JPG,,KA_7,RA Gent,K32_14,hand/KA_7/21_1_RAGent_K32_14 (Groot).JPG
22,2,2,2,22_1_ADNLille_B 396_970.jpeg,22_3_ADNLille_B 396_970.jpeg,,ADN Lille,B 396_970,unattributed/22_1_ADNLille_B 396_970.jpeg
23,1,1,1,23_3_RAGent_K78_300.jpeg,,,RA Gent,K78_300,unattributed/23_3_RAGent_K78_300.jpeg
24,1,1,1,24_2_RAGent_K14_2417 .jpeg,,,RA Gent,K14_2417,unattributed/24_2_RAGent_K14_2417 .jpeg
25,1,1,1,25_2_RABrugge INV120_7406.jpeg,,KA_9,RA Brugge,INV120_7406,hand/KA_9/25_2_RABrugge INV120_7406.jpeg
26,1,1,1,26_2_RABrugge INV120_7405.jpeg,,KA_8,RA Brugge,INV120_7405,hand/KA_8/26_2_RABrugge INV120_7405.jpeg
29,1,1,1,29_3_RABrugge_INV 120_7427.jpeg,,KA_8,RA Brugge,INV 120_7427,hand/KA_8/29_3_RABrugge_INV 120_7427.jpeg
30,2,1,1,30_2_RABrugge_INV 120_7435 .jpeg,,KA_10|KA_8,RA Brugge,INV 120_7435,hand/KA_10/30_2_RABrugge_INV 120_7435 .jpeg
38,1,1,1,38_1_SAGent_94_66 (Groot).JPG,,KA_9,SA Gent,94_66,hand/KA_9/38_1_SAGent_94_66 (Groot).JPG
42,1,1,1,42_1_SAGent_94_74.jpg,,KA_10,SA Gent,94_74,hand/KA_10/42_1_SAGent_94_74.jpg
43,2,2,2,43_2_ADN Lille B 1499_1103.jpeg,43_3_ADN Lille B 1499_1103.jpeg,KA_8,ADN Lille,B 1499_1103,hand/KA_8/43_2_ADN Lille B 1499_1103.jpeg
44,1,1,1,44_1_ANParijs_J 540_I-5-22 (Groot).jpg,,KA_8,AN Paris,J 540_I-5-22,hand/KA_8/44_1_ANParijs_J 540_I-5-22 (Groot).jpg
47,2,2,1,47_1_SAGent_94_75.jpeg,47_1_SAGent_94_75.jpg,KA_8|KA_9,SA Gent,94_75,hand/KA_8/47_1_SAGent_94_75.jpeg
50,1,1,1,50_1_RABrugge_INV 100_102 (Groot).JPG,,KA_8,RA Brugge,INV 100_102,hand/KA_8/50_1_RABrugge_INV 100_102 (Groot).JPG
53,3,3,3,53_2_ADN Lille 1G 254_1584.jpeg,53_3_ADN Lille 1G 254_1584.jpeg|53_5_ADN Lille 1G 254_1584.jpeg,KA_8,ADN Lille,1G 254_1584,hand/KA_8/53_2_ADN Lille 1G 254_1584.jpeg
57,1,1,1,57_5_ADN Lille B 1508_1627.jpeg,,,ADN Lille,B 1508_1627,unattributed/57_5_ADN Lille B 1508_1627.jpeg
58,2,2,2,58_1_SAGent_94_89.jpg,58_5_SAGent_94_89.jpeg,KA_8,SA Gent,94_89,hand/KA_8/58_1_SAGent_94_89.jpg
61,2,2,2,61_4_SAGent_94_92.jpeg,61_5_SAGent_94_92.jpeg,KA_10,SA Gent,94_92,hand/KA_10/61_4_SAGent_94_92.jpeg
62,2,2,2,62_1_RAGent_K99_828 (Groot).jpeg,62_2_RAGent_K99_828 (Groot).jpeg,KA_8,RA Gent,K99_828,hand/KA_8/62_1_RAGent_K99_828 (Groot).jpeg
74,1,1,1,74_1_ANParijs_J 540_I-5-24 (Groot).jpg,,KA_8,AN Paris,J 540_I-5-24,hand/KA_8/74_1_ANParijs_J 540_I-5-24 (Groot).jpg
77,1,1,1,77_8_RABrugge_INV 120_1431-55 (Groot).JPG,,KA_9,RA Brugge,INV 120_1431-55,hand/KA_9/77_8_RABrugge_INV 120_1431-55 (Groot).JPG
78,1,1,1,78_2_RAGent_K6_8 .jpeg,,,RA Gent,K6_8,unattributed/78_2_RAGent_K6_8 .jpeg
79,1,1,1,79_2_RAGent K99_737.jpeg,,,RA Gent,K99_737,unattributed/79_2_RAGent K99_737.jpeg
80,1,1,1,80_1_ADNLille_B 1332_1351 (Groot).JPG,,KA_8,ADN Lille,B 1332_1351,hand/KA_8/80_1_ADNLille_B 1332_1351 (Groot).JPG
81,1,1,1,81_1_RAGent GW1_116.jpg,,,RA Gent,GW1_116,unattributed/81_1_RAGent GW1_116.jpg
82,1,1,1,82_1_RAGent_GW1_111.jpg,,,RA Gent,GW1_111,unattributed/82_1_RAGent_GW1_111.jpg
84,1,1,1,84_2_RAGent_K6_9..jpeg,,KA_10,RA Gent,K6_9,hand/KA_10/84_2_RAGent_K6_9..jpeg
86,1,1,1,86_1_RAGent GW1_121.jpg,,,RA Gent,GW1_121,unattributed/86_1_RAGent GW1_121.jpg
90,1,1,1,90_1_RAGent GW1_131.jpg,,KA_10,RA Gent,GW1_131,hand/KA_10/90_1_RAGent GW1_131.jpg
91,1,1,1,91_2_RAGent_GW2_512.jpg,,,RA Gent,GW2_512,unattributed/91_2_RAGent_GW2_512.jpg
92,1,1,1,92_1_RAGent GW1_134.jpg,,KA_10,RA Gent,GW1_134,hand/KA_10/92_1_RAGent GW1_134.jpg
93,1,1,1,93_1_RAGent GW1_135.jpg,,KA_8,RA Gent,GW1_135,hand/KA_8/93_1_RAGent GW1_135.jpg
94,1,1,1,94_1_RAGent GW1_137.jpg,,,RA Gent,GW1_137,unattributed/94_1_RAGent GW1_137.jpg
105,1,1,1,105_3_RAGent_K16_40 (Groot).JPG,,KA_10,RA Gent,K16_40,hand/KA_10/105_3_RAGent_K16_40 (Groot).JPG
106,1,1,1,106_3_RAGent_K6_3.jpeg,,,RA Gent,K6_3,unattributed/106_3_RAGent_K6_3.jpeg
107,1,1,1,107_2_RAGent_K6_6.jpeg,,KA_8,RA Gent,K6_6,hand/KA_8/107_2_RAGent_K6_6.jpeg
108,1,1,1,108_2_RAGent_K6_7.jpeg,,KA_10,RA Gent,K6_7,hand/KA_10/108_2_RAGent_K6_7.jpeg
119,1,1,1,119_2_RAGent_K32_15.jpeg,,KA_9,RA Gent,K32_15,hand/KA_9/119_2_RAGent_K32_15.jpeg
120,1,1,1,120_2_RAGent_K32_16.jpeg,,KA_9,RA Gent,K32_16,hand/KA_9/120_2_RAGent_K32_16.jpeg
121,1,1,1,121_2_RAGent_K32_17.jpeg,,KA_8,RA Gent,K32_17,hand/KA_8/121_2_RAGent_K32_17.jpeg
123,1,1,1,123_1_RAGent K32_19bis (FACSIMILE).jpeg,,KA_8,RA Gent,K32_19bis,hand/KA_8/123_1_RAGent K32_19bis (FACSIMILE).jpeg
127,1,1,1,127_2_RAGent_K131_4.jpeg,,KA_2,RA Gent,K131_4,hand/KA_2/127_2_RAGent_K131_4.jpeg
129,1,1,1,129_2_RAGent_K78_409.jpeg,,KA_10,RA Gent,K78_409,hand/KA_10/129_2_RAGent_K78_409.jpeg
131,1,1,1,131_2_RAGent_K78_402.jpeg,,KA_8,RA Gent,K78_402,hand/KA_8/131_2_RAGent_K78_402.jpeg
134,2,2,2,134_2_RAGent K21_98.jpeg,134_3_RAGent K21_98.jpeg,KA_1,RA Gent,K21_98,hand/KA_1/134_2_RAGent K21_98.jpeg
135,1,1,1,135_2_RAGent K21_107.jpeg,,KA_1,RA Gent,K21_107,hand/KA_1/135_2_RAGent K21_107.jpeg
136,1,1,1,136_2_RAGent K21_122.jpeg,,KA_1,RA Gent,K21_122,hand/KA_1/136_2_RAGent K21_122.jpeg
137,1,1,1,137_2_RAGent_K21_147.jpeg,,,RA Gent,K21_147,unattributed/137_2_RAGent_K21_147.jpeg
138,2,2,2,138_2_RAGent K21_152.jpeg,138_3_RAGent K21_152.jpeg,,RA Gent,K21_152,unattributed/138_2_RAGent K21_152.jpeg
139,1,1,1,139_2_RAGent K21_182.jpeg,,KA_8,RA Gent,K21_182,hand/KA_8/139_2_RAGent K21_182.jpeg
141,1,1,1,141_2_RAGent K72_29.jpeg,,KA_10,RA Gent,K72_29,hand/KA_10/141_2_RAGent K72_29.jpeg
147,1,1,1,147_2_RAGent K133_80.jpeg,,KA_8,RA Gent,K133_80,hand/KA_8/147_2_RAGent K133_80.jpeg
148,2,2,2,148_2_RAGent_K137_49bis.jpeg,148_3_RAGent_K137_49bis.jpeg,KA_8,RA Gent,K137_49bis,hand/KA_8/148_2_RAGent_K137_49bis.jpeg
151,2,2,2,151_2_RABrugge_INV 120_6738.jpeg,151_3_RABrugge_INV 120_6738.jpeg,KA_8,RA Brugge,INV 120_6738,hand/KA_8/151_2_RABrugge_INV 120_6738.jpeg
152,1,1,1,152_4_RABrugge_INV 120_7187 (Groot).JPG,,,RA Brugge,INV 120_7187,unattributed/152_4_RABrugge_INV 120_7187 (Groot).JPG
153,1,1,1,153_2_RABrugge_INV 120_7115.jpeg,,KA_8,RA Brugge,INV 120_7115,hand/KA_8/153_2_RABrugge_INV 120_7115.jpeg
156,2,2,2,156_2_ADN Lille B 445_1208.jpeg,156_5_ADN Lille B 445_1208.jpeg,KA_8,ADN Lille,B 445_1208,hand/KA_8/156_2_ADN Lille B 445_1208.jpeg
161,2,2,2,161_2_ADN Lille B 400_1643.jpeg,161_4_ADN Lille B 400_1643.jpeg,KA_10,ADN Lille,B 400_1643,hand/KA_10/161_2_ADN Lille B 400_1643.jpeg
164,2,2,2,164_2_ADNLille_B 400_1474.jpeg,164_3_ADNLille_B 400_1474.jpeg,KA_8,ADN Lille,B 400_1474,hand/KA_8/164_2_ADNLille_B 400_1474.jpeg
166,1,1,1,166_2_ADNLille_B 496_1298 .jpeg,,KA_10,ADN Lille,B 496_1298,hand/KA_10/166_2_ADNLille_B 496_1298 .jpeg
168,2,2,2,168_2_ADN Lille B 1162_1409.jpeg,168_3_ADN Lille B 1162_1409.jpeg,KA_8,ADN Lille,B 1162_1409,hand/KA_8/168_2_ADN Lille B 1162_1409.jpeg
170,1,1,1,170_2_ADN Lille B 1430_1428.jpeg,,,ADN Lille,B 1430_1428,unattributed/170_2_ADN Lille B 1430_1428.jpeg
178,1,1,1,178_8_ADNLille_B 1528_1294 (Groot).JPG,,KA_8,ADN Lille,B 1528_1294,hand/KA_8/178_8_ADNLille_B 1528_1294 (Groot).JPG
180,1,1,1,180_2_ADN Lille 1G 91_211.jpeg,,KA_4,ADN Lille,1G 91_211,hand/KA_4/180_2_ADN Lille 1G 91_211.jpeg
182,1,1,1,182_1_ADNLille_7 G 8_136 (Groot).JPG,,,ADN Lille,7 G 8_136,unattributed/182_1_ADNLille_7 G 8_136 (Groot).JPG
183,1,1,1,183_1_ADNLille_11 G 23_152 (Groot).JPG,,,ADN Lille,11 G 23_152,unattributed/183_1_ADNLille_11 G 23_152 (Groot).JPG
185,2,2,2,185_2_ADN Lille 16G 8_91quat.jpeg,185_3_ADN Lille 16G 8_91quat.jpeg,,ADN Lille,16G 8_91quat,unattributed/185_2_ADN Lille 16G 8_91quat.jpeg
188,1,1,1,188_1_AMDouai_AA_48 (Groot).jpg,,KA_8,AM Douai,AA_48,hand/KA_8/188_1_AMDouai_AA_48 (Groot).jpg
190,1,1,1,190_2_ADN Lille 16G 86_893..jpeg,,,ADN Lille,16G 86_893,unattributed/190_2_ADN Lille 16G 86_893..jpeg
194,1,1,1,194_3_ADNLille_16 G 110_1242.JPG,,,ADN Lille,16 G 110_1242,unattributed/194_3_ADNLille_16 G 110_1242.JPG
197,1,1,1,197_1_ADNLille_16 G 291_2556 (Groot) JPG.JPG,,KA_8,ADN Lille,16 G 291_2556 (Groot) JPG,hand/KA_8/197_1_ADNLille_16 G 291_2556 (Groot) JPG.JPG
200,1,1,1,200_1_ADN Lille_1H 196_2345 (Groot).JPG,,,ADN Lille,1H 196_2345,unattributed/200_1_ADN Lille_1H 196_2345 (Groot).JPG
202,1,1,1,202_1_ADN Lille_1H 218_2500 (Groot).JPG,,KA_11,ADN Lille,1H 218_2500,hand/KA_11/202_1_ADN Lille_1H 218_2500 (Groot).JPG
206,1,1,1,206_1_ADN Lille_1H 322_3324 (Groot).JPG,,KA_8,ADN Lille,1H 322_3324,hand/KA_8/206_1_ADN Lille_1H 322_3324 (Groot).JPG
208,1,1,1,208_1_ADN Lille 1H 330_3372.jpeg,,KA_8,ADN Lille,1H 330_3372,hand/KA_8/208_1_ADN Lille 1H 330_3372.jpeg
209,1,1,1,209_3_ADN Lille 1H 399_3661.jpeg,,KA_7,ADN Lille,1H 399_3661,hand/KA_7/209_3_ADN Lille 1H 399_3661.jpeg
210,1,1,1,210_1_ADN Lille 1H 400_3667.jpeg,,KA_8,ADN Lille,1H 400_3667,hand/KA_8/210_1_ADN Lille 1H 400_3667.jpeg
211,1,1,1,211_1_ADN Lille 1H 400_3668.jpeg,,,ADN Lille,1H 400_3668,unattributed/211_1_ADN Lille 1H 400_3668.jpeg
214,1,1,1,214_1_ADN Lille 3H 190_2626.jpeg,,,ADN Lille,3H 190_2626,unattributed/214_1_ADN Lille 3H 190_2626.jpeg
220,1,1,1,220_2_ADN Lille_4G 708_6984 (Groot).JPG,,KA_2,ADN Lille,4G 708_6984,hand/KA_2/220_2_ADN Lille_4G 708_6984 (Groot).JPG
222,1,1,1,222_3_ADN Lille_8H185_2051.JPG,,,ADN Lille,8H185_2051,unattributed/222_3_ADN Lille_8H185_2051.JPG
223,2,2,2,223_1_ADN Lille_10H 8_102 (Groot).JPG,223_2_ADN Lille_10H8_102 (Groot).JPG,,ADN Lille,10H 8_102,unattributed/223_1_ADN Lille_10H 8_102 (Groot).JPG
226,1,1,1,226_1_ADN Lille_10H 100_1319 (Groot).JPG,,,ADN Lille,10H 100_1319,unattributed/226_1_ADN Lille_10H 100_1319 (Groot).JPG
229,2,2,2,229_2_ADN Lille 10H 210_3434.jpeg,229_3_ADN Lille 10H 210_3434.jpeg,KA_8,ADN Lille,10H 210_3434,hand/KA_8/229_2_ADN Lille 10H 210_3434.jpeg
230,1,1,1,230_1_ADN Lille_10H 210_3435 (Groot).JPG,,KA_8,ADN Lille,10H 210_3435,hand/KA_8/230_1_ADN Lille_10H 210_3435 (Groot).JPG
231,2,2,2,231_1_ADN Lille 10H 210_3436.jpeg,231_3_ADN Lille 10H 210_3436.jpeg,KA_8,ADN Lille,10H 210_3436,hand/KA_8/231_1_ADN Lille 10H 210_3436.jpeg
235,2,2,2,235_2_ADN Lille 26H 3_17.jpeg,235_3_ADN Lille 26H 3_17.jpeg,,ADN Lille,26H 3_17,unattributed/235_2_ADN Lille 26H 3_17.jpeg
241,2,2,2,241_1_ADN Lille_27H 53_774 .jpeg,241_3_ADN Lille_27H 53_774 .jpeg,KA_8,ADN Lille,27H 53_774,hand/KA_8/241_1_ADN Lille_27H 53_774 .jpeg
250,2,2,2,250_1_ADN Lille_ 30H 17_248 (DiBe 36900).JPG,250_3_ADN Lille_30H17_248 (Groot).JPG,,ADN Lille,30H 17_248,unattributed/250_1_ADN Lille_ 30H 17_248 (DiBe 36900).JPG
252,1,1,1,252_1_ADN Lille_30H17_250.JPG,,KA_5,ADN Lille,30H17_250,hand/KA_5/252_1_ADN Lille_30H17_250.JPG
253,1,1,1,253_1_ADN Lille_30H 17_253 (Groot).JPG,,KA_7,ADN Lille,30H 17_253,hand/KA_7/253_1_ADN Lille_30H 17_253 (Groot).JPG
254,1,1,1,254_1_ADN Lille_30H 17_254 (Groot).JPG,,,ADN Lille,30H 17_254,unattributed/254_1_ADN Lille_30H 17_254 (Groot).JPG
260,1,1,1,260_1_ADN Lille_30H 31_591.JPG,,,ADN Lille,30H 31_591,unattributed/260_1_ADN Lille_30H 31_591.JPG
262,1,1,1,262_1_ADN Lille_30H 31_593 (Groot).JPG,,KA_8,ADN Lille,30H 31_593,hand/KA_8/262_1_ADN Lille_30H 31_593 (Groot).JPG
264,1,1,1,264_1_ADN Lille_30H 55_852 (Groot).JPG,,KA_8,ADN Lille,30H 55_852,hand/KA_8/264_1_ADN Lille_30H 55_852 (Groot).JPG
266,1,1,1,266_1_ADN Lille_30H 55_855 (Groot).JPG,,KA_8,ADN Lille,30H 55_855,hand/KA_8/266_1_ADN Lille_30H 55_855 (Groot).JPG
267,1,1,1,267_2_ADN Lille_30H55_856 (Groot).JPG,,,ADN Lille,30H55_856,unattributed/267_2_ADN Lille_30H55_856 (Groot).JPG
268,1,1,1,268_1_ADN Lille_30H 57_884 (Groot).JPG,,KA_8,ADN Lille,30H 57_884,hand/KA_8/268_1_ADN Lille_30H 57_884 (Groot).JPG
272,1,1,1,272_1_ADN Lille_31H 2_14 (Groot).JPG,,KA_8,ADN Lille,31H 2_14,hand/KA_8/272_1_ADN Lille_31H 2_14 (Groot).JPG
276,1,1,1,276_1_ADN Lille_31H 3_20 (Groot).JPG,,,ADN Lille,31H 3_20,unattributed/276_1_ADN Lille_31H 3_20 (Groot).JPG
281,1,1,1,281_3_ADN Lille_31H13_176.jpeg,,KA_7,ADN Lille,31H13_176,hand/KA_7/281_3_ADN Lille_31H13_176.jpeg
282,1,1,1,282_1_ADN Lille_31H 13_177.jpeg,,KA_7,ADN Lille,31H 13_177,hand/KA_7/282_1_ADN Lille_31H 13_177.jpeg
283,1,1,1,283_1_ADN Lille_31H 13_178 .JPG,,KA_7,ADN Lille,31H 13_178,hand/KA_7/283_1_ADN Lille_31H 13_178 .JPG
284,1,1,1,284_2_ADN Lille 31H 13_179.jpeg,,KA_7,ADN Lille,31H 13_179,hand/KA_7/284_2_ADN Lille 31H 13_179.jpeg
285,1,1,1,285_2_ADN Lille 31H 13_180.jpeg,,KA_7,ADN Lille,31H 13_180,hand/KA_7/285_2_ADN Lille 31H 13_180.jpeg
286,1,1,1,286_3_ADN Lille 31H 13_181.jpeg,,,ADN Lille,31H 13_181,unattributed/286_3_ADN Lille 31H 13_181.jpeg
287,1,1,1,287_1_ADN Lille_31H1 3_185 .JPG,,,ADN Lille,31H1 3_185,unattributed/287_1_ADN Lille_31H1 3_185 .JPG
288,1,1,1,288_1_ADN Lille 31H 13_188.jpeg,,KA_8,ADN Lille,31H 13_188,hand/KA_8/288_1_ADN Lille 31H 13_188.jpeg
289,1,1,1,289_1_ADN Lille_31H 13_189 (Groot).JPG,,KA_7,ADN Lille,31H 13_189,hand/KA_7/289_1_ADN Lille_31H 13_189 (Groot).JPG
290,1,1,1,290_1_ADN Lille 31H 13_190.jpeg,,KA_7,ADN Lille,31H 13_190,hand/KA_7/290_1_ADN Lille 31H 13_190.jpeg
291,1,1,1,291_1_ADN Lille 31H 13_191.jpeg,,KA_7,ADN Lille,31H 13_191,hand/KA_7/291_1_ADN Lille 31H 13_191.jpeg
294,1,1,1,294_3_ADN Lille 31H 14_194.jpeg,,KA_9,ADN Lille,31H 14_194,hand/KA_9/294_3_ADN Lille 31H 14_194.jpeg
295,1,1,1,295_1_ADN Lille_31H14_198 (Groot).JPG,,KA_8,ADN Lille,31H14_198,hand/KA_8/295_1_ADN Lille_31H14_198 (Groot).JPG
296,1,1,1,296_1_ADN Lille_31H14_199 (Groot).JPG,,KA_8,ADN Lille,31H14_199,hand/KA_8/296_1_ADN Lille_31H14_199 (Groot).JPG
298,1,1,1,298_1_ADN Lille_31H14_202 (Groot).JPG,,,ADN Lille,31H14_202,unattributed/298_1_ADN Lille_31H14_202 (Groot).JPG
299,1,1,1,299_1_ADN Lille_31H14_203 (Groot).JPG,,,ADN Lille,31H14_203,unattributed/299_1_ADN Lille_31H14_203 (Groot).JPG
300,1,1,1,300_2_ADN Lille_31H14_204 (Groot).JPG,,KA_8,ADN Lille,31H14_204,hand/KA_8/300_2_ADN Lille_31H14_204 (Groot).JPG
301,1,1,1,301_1_ADN Lille_31H14_206 (Groot).JPG,,,ADN Lille,31H14_206,unattributed/301_1_ADN Lille_31H14_206 (Groot).JPG
302,2,2,2,302_1_ADN Lille_31H 14_211 (Groot).JPG,302_2_ADN Lille_31H14_211 (Groot).JPG,KA_8,ADN Lille,31H 14_211,hand/KA_8/302_1_ADN Lille_31H 14_211 (Groot).JPG
312,1,1,1,312_1_ADN Lille_31H62_966 (Groot).JPG,,KA_8,ADN Lille,31H62_966,hand/KA_8/312_1_ADN Lille_31H62_966 (Groot).JPG
313,1,1,1,313_1_ADN Lille_31H63_972 (Groot).JPG,,KA_7,ADN Lille,31H63_972,hand/KA_7/313_1_ADN Lille_31H63_972 (Groot).JPG
314,1,1,1,314_1_ADN Lille_31H63_974 (Groot) .JPG,,,ADN Lille,31H63_974,unattributed/314_1_ADN Lille_31H63_974 (Groot) .JPG
315,1,1,1,315_1_ADN Lille_31H63_975  (Groot).JPG,,KA_8,ADN Lille,31H63_975,hand/KA_8/315_1_ADN Lille_31H63_975  (Groot).JPG
318,1,1,1,318_2_ADN Lille 31H 70_1296.jpeg,,,ADN Lille,31H 70_1296,unattributed/318_2_ADN Lille 31H 70_1296.jpeg
319,1,1,1,319_1_ADN Lille 31H 75_1334.jpeg,,KA_7,ADN Lille,31H 75_1334,hand/KA_7/319_1_ADN Lille 31H 75_1334.jpeg
320,1,1,1,320_2_ADN Lille_31H82_1483 (Groot).JPG,,KA_10,ADN Lille,31H82_1483,hand/KA_10/320_2_ADN Lille_31H82_1483 (Groot).JPG
322,1,1,1,322_1_ADN Lille_31H87_1585 (Groot).JPG,,KA_8,ADN Lille,31H87_1585,hand/KA_8/322_1_ADN Lille_31H87_1585 (Groot).JPG
325,1,1,1,325_2_ADN Lille_32H16_183 (Groot).JPG,,KA_8,ADN Lille,32H16_183,hand/KA_8/325_2_ADN Lille_32H16_183 (Groot).JPG
330,1,1,1,330_2_ADN Lille_33H3_67 (Groot).JPG,,KA_8,ADN Lille,33H3_67,hand/KA_8/330_2_ADN Lille_33H3_67 (Groot).JPG
331,2,2,2,331_2_ADN Lille_33H31_486.jpeg,331_3_ADN Lille_33H31_486.jpeg,KA_8,ADN Lille,33H31_486,hand/KA_8/331_2_ADN Lille_33H31_486.jpeg
334,1,1,1,334_1_ADN Lille_33H33_533 (Groot).JPG,,,ADN Lille,33H33_533,unattributed/334_1_ADN Lille_33H33_533 (Groot).JPG
336,1,1,1,336_1_ADN Lille_33H48_735 (Groot).JPG,,KA_8,ADN Lille,33H48_735,hand/KA_8/336_1_ADN Lille_33H48_735 (Groot).JPG
338,2,2,2,338_2_ADN Lille_33H54_910 .jpeg,338_3_ADN Lille_33H54_910 .jpeg,KA_8,ADN Lille,33H54_910,hand/KA_8/338_2_ADN Lille_33H54_910 .jpeg
341,1,1,1,341_1_ADN Lille_33H56_996 (Groot).JPG,,,ADN Lille,33H56_996,unattributed/341_1_ADN Lille_33H56_996 (Groot).JPG
342,1,1,1,342_1_ADN Lille_33H56_997 (Groot).JPG,,KA_10,ADN Lille,33H56_997,hand/KA_10/342_1_ADN Lille_33H56_997 (Groot).JPG
343,1,1,1,343_1_ADN Lille_33H56_998 (Groot).JPG,,KA_8,ADN Lille,33H56_998,hand/KA_8/343_1_ADN Lille_33H56_998 (Groot).JPG
344,1,1,1,344_1_ADN Lille_33H58_1019 (Groot).JPG,,,ADN Lille,33H58_1019,unattributed/344_1_ADN Lille_33H58_1019 (Groot).JPG
346,1,1,1,346_1_ADN Lille 33H 62_1104.jpeg,,KA_7,ADN Lille,33H 62_1104,hand/KA_7/346_1_ADN Lille 33H 62_1104.jpeg
347,1,1,1,347_1_ADN Lille 33H 62_1105.jpeg,,KA_7,ADN Lille,33H 62_1105,hand/KA_7/347_1_ADN Lille 33H 62_1105.jpeg
348,2,2,2,348_2_ADN Lille_33H62_1106.jpeg,348_3_ADN Lille_33H62_1106.jpeg,KA_8,ADN Lille,33H62_1106,hand/KA_8/348_2_ADN Lille_33H62_1106.jpeg
349,1,1,1,349_1_ADN Lille 33H 67_1169.jpeg,,,ADN Lille,33H 67_1169,unattributed/349_1_ADN Lille 33H 67_1169.jpeg
354,1,1,1,354_1_ADN Lille_36H283_4482 (Groot).JPG,,KA_8,ADN Lille,36H283_4482,hand/KA_8/354_1_ADN Lille_36H283_4482 (Groot).JPG
356,1,1,1,356_1_ADN Lille_38H4_17 (Groot) .JPG,,,ADN Lille,38H4_17,unattributed/356_1_ADN Lille_38H4_17 (Groot) .JPG
357,1,1,1,357_1_ADN Lille_38H48_254 (Groot).JPG,,KA_9,ADN Lille,38H48_254,hand/KA_9/357_1_ADN Lille_38H48_254 (Groot).JPG
358,1,1,1,358_2_ADN Lille_38H68_330.jpeg,,KA_8,ADN Lille,38H68_330,hand/KA_8/358_2_ADN Lille_38H68_330.jpeg
359,1,1,1,359_1_ADN Lille_38H71_342 (Groot).JPG,,KA_9,ADN Lille,38H71_342,hand/KA_9/359_1_ADN Lille_38H71_342 (Groot).JPG
360,1,1,1,360_1_ADN Lille_40H 104_698 (Groot).JPG,,,ADN Lille,40H 104_698,unattributed/360_1_ADN Lille_40H 104_698 (Groot).JPG
364,1,1,1,364_1_ADN Lille_40H613_1648 (Groot).JPG,,,ADN Lille,40H613_1648,unattributed/364_1_ADN Lille_40H613_1648 (Groot).JPG
365,1,1,1,365_1_ADN Lille_49H 20_79 (Groot).JPG,,,ADN Lille,49H 20_79,unattributed/365_1_ADN Lille_49H 20_79 (Groot).JPG
367,1,1,1,367_1_ADN Lille_49H 33_165  (Groot).JPG,,,ADN Lille,49H 33_165,unattributed/367_1_ADN Lille_49H 33_165  (Groot).JPG
