relative_path,filename,main_document,fell_back,n_regions,x0,y0,x1,y1,width,height
hand/KA_10/573_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_977.jpeg,573_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_977.jpeg,1,0,1,73,564,3956,2128,4032,3024
hand/KA_10/583_1_RAGent K99_726A.jpeg,583_1_RAGent K99_726A.jpeg,1,0,33,739,546,3627,1995,4032,3024
hand/KA_10/588_1_RA Bergen_AEM.01.151_14.jpeg,588_1_RA Bergen_AEM.01.151_14.jpeg,1,0,9,1024,297,3044,1713,4032,3024
hand/KA_10/597_2_RAGent K95_14.jpeg,597_2_RAGent K95_14.jpeg,1,0,1,67,209,3990,2719,4032,3024
hand/KA_10/598_2_RAGent K174_240.jpeg,598_2_RAGent K174_240.jpeg,1,0,13,155,524,3969,1853,4032,3024
hand/KA_10/607_2_Bisschoppelijk Archief Brugge C354_17.jpeg,607_2_Bisschoppelijk Archief Brugge C354_17.jpeg,1,0,3,33,759,3969,1799,4032,3024
hand/KA_10/609_2_Bisschoppelijk Archief Brugge C354_20.jpeg,609_2_Bisschoppelijk Archief Brugge C354_20.jpeg,1,0,3,631,168,3909,2679,4032,3024
hand/KA_10/613_2_Bisschoppelijk Archief Brugge C419_8.jpeg,613_2_Bisschoppelijk Archief Brugge C419_8.jpeg,1,0,34,1166,770,3418,1960,4032,3024
hand/KA_10/617_2_RAGent K78_399.jpeg,617_2_RAGent K78_399.jpeg,1,0,1,181,342,3908,1353,4032,3024
hand/KA_10/618_2_RAGent K78_421.jpeg,618_2_RAGent K78_421.jpeg,1,0,3,53,33,3969,2558,4032,3024
hand/KA_10/619_3_RAGent K78_429.jpeg,619_3_RAGent K78_429.jpeg,1,0,2,510,53,3654,2800,4032,3024
hand/KA_10/61_4_SAGent_94_92.jpeg,61_4_SAGent_94_92.jpeg,1,0,5,450,154,3304,2646,4032,3024
hand/KA_10/620_2_RAGent K95_3..jpeg,620_2_RAGent K95_3..jpeg,1,0,6,80,133,3942,2511,4032,3024
hand/KA_10/637_2_ADN Lille B 1062_1493bis.jpeg,637_2_ADN Lille B 1062_1493bis.jpeg,1,0,53,118,240,3902,1428,4032,3024
hand/KA_10/651_2_ADN Lille 1G 254_1582.jpeg,651_2_ADN Lille 1G 254_1582.jpeg,1,0,2,60,26,3936,1537,4032,3024
hand/KA_10/84_2_RAGent_K6_9..jpeg,84_2_RAGent_K6_9..jpeg,1,0,1,255,94,3916,2538,4032,3024
hand/KA_10/90_1_RAGent GW1_131.jpg,90_1_RAGent GW1_131.jpg,1,0,16,171,1352,3543,4122,3651,7705
hand/KA_10/92_1_RAGent GW1_134.jpg,92_1_RAGent GW1_134.jpg,1,0,15,222,1404,3780,3214,3899,5343
hand/KA_11/202_1_ADN Lille_1H 218_2500 (Groot).JPG,202_1_ADN Lille_1H 218_2500 (Groot).JPG,1,0,2,91,160,1391,532,1440,1080
hand/KA_11/553_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_988.jpeg,553_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_988.jpeg,1,0,4,127,732,3942,1738,4032,3024
hand/KA_11/578_2_RAGent K21_183.jpeg,578_2_RAGent K21_183.jpeg,1,0,1,53,377,3950,1821,4032,3024
hand/KA_2/127_2_RAGent_K131_4.jpeg,127_2_RAGent_K131_4.jpeg,1,0,3,254,672,3927,1892,4032,3024
hand/KA_2/220_2_ADN Lille_4G 708_6984 (Groot).JPG,220_2_ADN Lille_4G 708_6984 (Groot).JPG,1,0,8,94,136,1403,683,1440,1080
hand/KA_2/476_3_ADN Lille_B 1260_868.jpeg,476_3_ADN Lille_B 1260_868.jpeg,1,0,4,47,228,3990,1470,4032,3024
hand/KA_2/510_1_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-49.JPG,510_1_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-49.JPG,1,0,4,669,581,3358,2889,3956,5684
hand/KA_2/514_1_ADN Lille_Archives hospitalières de Lille I. Hôpital Comtesse Titres isolés-43_2.JPG,514_1_ADN Lille_Archives hospitalières de Lille I. Hôpital Comtesse Titres isolés-43_2.JPG,1,0,17,1508,492,4825,2103,5184,3360
hand/KA_2/526_1_ADN Lille_B 1532_834.JPG,526_1_ADN Lille_B 1532_834.JPG,1,0,11,319,458,2401,1639,2871,4798
hand/KA_2/528_3_ADN Lille B 396_863.jpeg,528_3_ADN Lille B 396_863.jpeg,1,0,1,87,228,3983,2047,4032,3024
hand/KA_2/530_2_RA Bergen_AEM.02.144_100.jpeg,530_2_RA Bergen_AEM.02.144_100.jpeg,1,0,1,150,517,3942,2276,4032,3024
hand/KA_2/635_2_SAGent Fonds Bijlokehospitaal_7bis..jpeg,635_2_SAGent Fonds Bijlokehospitaal_7bis..jpeg,1,0,1,80,604,3922,1839,4032,3024
hand/KA_2/8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG,8_1_ADN Lille_B 1016_830 (DiBe 27608).JPG,1,0,16,1203,327,3056,751,3389,2304
hand/KA_3/507_1_ADNLille_49 H 19_70.JPG,507_1_ADNLille_49 H 19_70.JPG,1,0,7,1230,421,3349,902,3700,2493
hand/KA_3/508_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-44.JPG,508_ADN Lille_Archives hospitalières de la ville de Lille - I. Hôpital Comtesse - Titres isolés-44.JPG,1,0,13,1314,336,4845,1366,5174,3520
hand/KA_4/11_2_RAGent K99_578.jpeg,11_2_RAGent K99_578.jpeg,1,0,2,91,462,3969,1887,4032,3024
hand/KA_4/180_2_ADN Lille 1G 91_211.jpeg,180_2_ADN Lille 1G 91_211.jpeg,1,0,2,107,114,3937,1035,4032,3024
hand/KA_5/14_4_ANParijs_J 540_I-5-18 (Groot).jpg,14_4_ANParijs_J 540_I-5-18 (Groot).jpg,1,0,1,91,148,1439,789,1440,1080
hand/KA_5/1_8_ANParijs_J537_I-5-6 (Groot).jpg,1_8_ANParijs_J537_I-5-6 (Groot).jpg,1,0,1,132,364,1269,729,1440,1080
hand/KA_5/252_1_ADN Lille_30H17_250.JPG,252_1_ADN Lille_30H17_250.JPG,1,0,12,340,243,3086,1449,3524,3649
hand/KA_5/527_1_ADN Lille_B 1534_827.JPG,527_1_ADN Lille_B 1534_827.JPG,1,0,15,521,398,3043,1826,3350,4599
hand/KA_6/2_3_ADN Lille B 444_816.jpeg,2_3_ADN Lille B 444_816.jpeg,1,0,2,282,141,3882,2498,4032,3024
hand/KA_6/3_1_ADNLille_B 444_825 (DiBe 22716).JPG,3_1_ADNLille_B 444_825 (DiBe 22716).JPG,1,0,5,469,394,2441,2216,2893,4800
hand/KA_6/493_AM Lille_PAT-155-2857.jpg,493_AM Lille_PAT-155-2857.jpg,1,0,14,796,181,3744,1233,4386,3476
hand/KA_6/499_1_ADNLille_30 H 59_938.JPG,499_1_ADNLille_30 H 59_938.JPG,1,0,10,565,397,2685,1243,3183,3977
hand/KA_6/504_1_ADNLille_40 H 556_1345.JPG,504_1_ADNLille_40 H 556_1345.JPG,1,0,4,1250,302,3468,1277,3748,2616
hand/KA_6/525_1_ADN Lille_B 1528_835.JPG,525_1_ADN Lille_B 1528_835.JPG,1,0,12,336,418,3195,2272,3566,4632
hand/KA_6/6_2_RAGent_K95_6.jpeg,6_2_RAGent_K95_6.jpeg,1,0,2,1263,163,3512,2471,4032,3024
hand/KA_7/16_2_RAGent_K14_36.jpeg,16_2_RAGent_K14_36.jpeg,1,0,7,67,275,4003,1967,4032,3024
hand/KA_7/209_3_ADN Lille 1H 399_3661.jpeg,209_3_ADN Lille 1H 399_3661.jpeg,1,0,6,60,147,3701,2854,4032,3024
hand/KA_7/21_1_RAGent_K32_14 (Groot).JPG,21_1_RAGent_K32_14 (Groot).JPG,1,0,2,98,96,1374,985,1440,1080
hand/KA_7/253_1_ADN Lille_30H 17_253 (Groot).JPG,253_1_ADN Lille_30H 17_253 (Groot).JPG,1,0,1,60,278,1403,568,1440,1080
hand/KA_7/281_3_ADN Lille_31H13_176.jpeg,281_3_ADN Lille_31H13_176.jpeg,1,0,5,360,816,2654,1925,3082,4687
hand/KA_7/282_1_ADN Lille_31H 13_177.jpeg,282_1_ADN Lille_31H 13_177.jpeg,1,0,3,427,833,2748,2143,3082,4687
hand/KA_7/283_1_ADN Lille_31H 13_178 .JPG,283_1_ADN Lille_31H 13_178 .JPG,1,0,7,484,356,2817,1827,3194,4452
hand/KA_7/284_2_ADN Lille 31H 13_179.jpeg,284_2_ADN Lille 31H 13_179.jpeg,1,0,3,489,301,3784,1925,4312,3388
hand/KA_7/285_2_ADN Lille 31H 13_180.jpeg,285_2_ADN Lille 31H 13_180.jpeg,1,0,2,312,843,2581,1663,3082,4687
hand/KA_7/289_1_ADN Lille_31H 13_189 (Groot).JPG,289_1_ADN Lille_31H 13_189 (Groot).JPG,1,0,2,45,146,1350,604,1440,1080
hand/KA_7/290_1_ADN Lille 31H 13_190.jpeg,290_1_ADN Lille 31H 13_190.jpeg,1,0,6,229,708,3226,1997,3375,4687
hand/KA_7/291_1_ADN Lille 31H 13_191.jpeg,291_1_ADN Lille 31H 13_191.jpeg,1,0,3,340,252,3381,2292,3755,4941
hand/KA_7/313_1_ADN Lille_31H63_972 (Groot).JPG,313_1_ADN Lille_31H63_972 (Groot).JPG,1,0,1,28,92,1429,777,1440,1080
hand/KA_7/319_1_ADN Lille 31H 75_1334.jpeg,319_1_ADN Lille 31H 75_1334.jpeg,1,0,7,549,318,2928,1830,3294,4941
hand/KA_7/346_1_ADN Lille 33H 62_1104.jpeg,346_1_ADN Lille 33H 62_1104.jpeg,1,0,6,405,490,2587,2086,2939,4796
hand/KA_7/347_1_ADN Lille 33H 62_1105.jpeg,347_1_ADN Lille 33H 62_1105.jpeg,1,0,6,394,341,2587,1905,2939,4796
hand/KA_7/469_RAKortrijk_23-3_390.jpg,469_RAKortrijk_23-3_390.jpg,1,0,39,77,102,3484,1226,3583,1697
hand/KA_7/497_1_ADNLille_27H 17_273.JPG,497_1_ADNLille_27H 17_273.JPG,1,0,1,859,463,4258,2144,4596,3864
hand/KA_7/518_1_ADN Lille_Archives hospitalières de Seclin B 1_4.JPG,518_1_ADN Lille_Archives hospitalières de Seclin B 1_4.JPG,1,0,14,1289,446,4393,1594,4855,3296
hand/KA_7/524_1_ADN Lille_B 1517_895.JPG,524_1_ADN Lille_B 1517_895.JPG,1,0,7,402,451,3423,2904,3875,4420
hand/KA_7/646_2_ADN Lille 16G 151_1537.jpeg,646_2_ADN Lille 16G 151_1537.jpeg,1,0,2,141,100,3801,2128,4032,3024
hand/KA_8/107_2_RAGent_K6_6.jpeg,107_2_RAGent_K6_6.jpeg,1,0,2,315,181,3801,2377,4032,3024
hand/KA_8/10_1_ADN Lille_ B1517_895bis.JPG,10_1_ADN Lille_ B1517_895bis.JPG,1,0,4,371,351,3533,2951,3875,4521
hand/KA_8/121_2_RAGent_K32_17.jpeg,121_2_RAGent_K32_17.jpeg,1,0,1,54,241,3996,1969,4032,3024
hand/KA_8/123_1_RAGent K32_19bis (FACSIMILE).jpeg,123_1_RAGent K32_19bis (FACSIMILE).jpeg,1,0,32,773,971,3477,1854,4032,3024
hand/KA_8/131_2_RAGent_K78_402.jpeg,131_2_RAGent_K78_402.jpeg,1,0,2,53,235,3929,1812,4032,3024
hand/KA_8/139_2_RAGent K21_182.jpeg,139_2_RAGent K21_182.jpeg,1,0,2,137,87,3990,1832,4032,3024
hand/KA_8/147_2_RAGent K133_80.jpeg,147_2_RAGent K133_80.jpeg,1,0,2,143,702,4010,1807,4032,3024
hand/KA_8/148_2_RAGent_K137_49bis.jpeg,148_2_RAGent_K137_49bis.jpeg,1,0,4,255,20,3949,2887,4032,3024
hand/KA_8/151_2_RABrugge_INV 120_6738.jpeg,151_2_RABrugge_INV 120_6738.jpeg,1,0,1,645,132,3262,2706,4032,3024
hand/KA_8/153_2_RABrugge_INV 120_7115.jpeg,153_2_RABrugge_INV 120_7115.jpeg,1,0,1,89,436,3842,1638,4032,3024
hand/KA_8/156_2_ADN Lille B 445_1208.jpeg,156_2_ADN Lille B 445_1208.jpeg,1,0,2,107,235,4023,2585,4032,3024
hand/KA_8/164_2_ADNLille_B 400_1474.jpeg,164_2_ADNLille_B 400_1474.jpeg,1,0,4,109,122,3983,1922,4032,3024
hand/KA_8/168_2_ADN Lille B 1162_1409.jpeg,168_2_ADN Lille B 1162_1409.jpeg,1,0,3,37,52,3929,1456,4032,3024
hand/KA_8/178_8_ADNLille_B 1528_1294 (Groot).JPG,178_8_ADNLille_B 1528_1294 (Groot).JPG,1,0,2,342,23,1381,920,1440,1080
hand/KA_8/188_1_AMDouai_AA_48 (Groot).jpg,188_1_AMDouai_AA_48 (Groot).jpg,1,0,1,168,124,1194,637,1440,1080
hand/KA_8/197_1_ADNLille_16 G 291_2556 (Groot) JPG.JPG,197_1_ADNLille_16 G 291_2556 (Groot) JPG.JPG,1,0,3,64,158,1379,839,1440,1080
hand/KA_8/206_1_ADN Lille_1H 322_3324 (Groot).JPG,206_1_ADN Lille_1H 322_3324 (Groot).JPG,1,0,2,283,31,1209,935,1440,1080
hand/KA_8/208_1_ADN Lille 1H 330_3372.jpeg,208_1_ADN Lille 1H 330_3372.jpeg,1,0,17,964,218,3761,1236,4004,2800
hand/KA_8/210_1_ADN Lille 1H 400_3667.jpeg,210_1_ADN Lille 1H 400_3667.jpeg,1,0,1,310,168,3342,2908,3401,2910
hand/KA_8/229_2_ADN Lille 10H 210_3434.jpeg,229_2_ADN Lille 10H 210_3434.jpeg,1,0,3,40,0,3580,2834,4032,3024
hand/KA_8/230_1_ADN Lille_10H 210_3435 (Groot).JPG,230_1_ADN Lille_10H 210_3435 (Groot).JPG,1,0,1,52,98,1348,508,1440,1080
hand/KA_8/231_1_ADN Lille 10H 210_3436.jpeg,231_1_ADN Lille 10H 210_3436.jpeg,1,0,6,1008,295,2491,2014,4032,3024
hand/KA_8/241_1_ADN Lille_27H 53_774 .jpeg,241_1_ADN Lille_27H 53_774 .jpeg,1,0,7,907,262,3391,2914,4032,3024
hand/KA_8/262_1_ADN Lille_30H 31_593 (Groot).JPG,262_1_ADN Lille_30H 31_593 (Groot).JPG,1,0,2,79,160,1362,729,1440,1080
hand/KA_8/264_1_ADN Lille_30H 55_852 (Groot).JPG,264_1_ADN Lille_30H 55_852 (Groot).JPG,1,0,1,96,115,1365,712,1440,1080
hand/KA_8/266_1_ADN Lille_30H 55_855 (Groot).JPG,266_1_ADN Lille_30H 55_855 (Groot).JPG,1,0,3,52,158,1389,719,1440,1080
hand/KA_8/268_1_ADN Lille_30H 57_884 (Groot).JPG,268_1_ADN Lille_30H 57_884 (Groot).JPG,1,0,3,96,81,1362,964,1440,1080
hand/KA_8/26_2_RABrugge INV120_7405.jpeg,26_2_RABrugge INV120_7405.jpeg,1,0,4,107,262,3909,1785,4032,3024
hand/KA_8/272_1_ADN Lille_31H 2_14 (Groot).JPG,272_1_ADN Lille_31H 2_14 (Groot).JPG,1,0,4,67,50,1357,964,1440,1080
hand/KA_8/288_1_ADN Lille 31H 13_188.jpeg,288_1_ADN Lille 31H 13_188.jpeg,1,0,5,291,968,2894,1945,3082,4687
hand/KA_8/295_1_ADN Lille_31H14_198 (Groot).JPG,295_1_ADN Lille_31H14_198 (Groot).JPG,1,0,2,33,156,1408,947,1440,1080
hand/KA_8/296_1_ADN Lille_31H14_199 (Groot).JPG,296_1_ADN Lille_31H14_199 (Groot).JPG,1,0,1,44,55,1345,940,1440,1080
hand/KA_8/29_3_RABrugge_INV 120_7427.jpeg,29_3_RABrugge_INV 120_7427.jpeg,1,0,5,129,283,3822,2289,4032,3024
hand/KA_8/300_2_ADN Lille_31H14_204 (Groot).JPG,300_2_ADN Lille_31H14_204 (Groot).JPG,1,0,4,36,129,1393,885,1440,1080
hand/KA_8/302_1_ADN Lille_31H 14_211 (Groot).JPG,302_1_ADN Lille_31H 14_211 (Groot).JPG,1,0,10,367,24,1144,1017,1440,1080
hand/KA_8/312_1_ADN Lille_31H62_966 (Groot).JPG,312_1_ADN Lille_31H62_966 (Groot).JPG,1,0,1,105,88,1357,901,1440,1080
hand/KA_8/315_1_ADN Lille_31H63_975  (Groot).JPG,315_1_ADN Lille_31H63_975  (Groot).JPG,1,0,2,57,18,1425,945,1440,1080
hand/KA_8/322_1_ADN Lille_31H87_1585 (Groot).JPG,322_1_ADN Lille_31H87_1585 (Groot).JPG,1,0,1,194,4,1293,1055,1440,1080
hand/KA_8/325_2_ADN Lille_32H16_183 (Groot).JPG,325_2_ADN Lille_32H16_183 (Groot).JPG,1,0,2,9,158,1429,863,1440,1080
hand/KA_8/330_2_ADN Lille_33H3_67 (Groot).JPG,330_2_ADN Lille_33H3_67 (Groot).JPG,1,0,1,55,229,1372,616,1440,1080
hand/KA_8/331_2_ADN Lille_33H31_486.jpeg,331_2_ADN Lille_33H31_486.jpeg,1,0,5,147,67,3606,3002,4032,3024
hand/KA_8/336_1_ADN Lille_33H48_735 (Groot).JPG,336_1_ADN Lille_33H48_735 (Groot).JPG,1,0,2,38,130,1386,772,1440,1080
hand/KA_8/338_2_ADN Lille_33H54_910 .jpeg,338_2_ADN Lille_33H54_910 .jpeg,1,0,1,41,40,3546,2854,4032,3024
hand/KA_8/343_1_ADN Lille_33H56_998 (Groot).JPG,343_1_ADN Lille_33H56_998 (Groot).JPG,1,0,1,88,24,1338,1019,1440,1080
hand/KA_8/348_2_ADN Lille_33H62_1106.jpeg,348_2_ADN Lille_33H62_1106.jpeg,1,0,2,44,75,3969,2068,4032,3024
hand/KA_8/354_1_ADN Lille_36H283_4482 (Groot).JPG,354_1_ADN Lille_36H283_4482 (Groot).JPG,1,0,3,5,58,1415,834,1440,1080
hand/KA_8/358_2_ADN Lille_38H68_330.jpeg,358_2_ADN Lille_38H68_330.jpeg,1,0,2,37,170,3916,3022,4032,3024
hand/KA_8/368_2_ADN Lille_51H 4_24.jpeg,368_2_ADN Lille_51H 4_24.jpeg,1,0,1,107,120,3936,2027,4032,3024
hand/KA_8/372_1_ADN Lille_51H4_23 (Groot).JPG,372_1_ADN Lille_51H4_23 (Groot).JPG,1,0,1,79,40,1396,935,1440,1080
hand/KA_8/374_1_ADN Lille_51H26_154 (Groot).JPG,374_1_ADN Lille_51H26_154 (Groot).JPG,1,0,8,280,21,1300,1077,1440,1080
hand/KA_8/376_2_ADN Lille_59H 5_42.jpeg,376_2_ADN Lille_59H 5_42.jpeg,1,0,3,154,80,3815,2766,4032,3024
hand/KA_8/379_1_ADN Lille_59H 5_45 (Groot).JPG,379_1_ADN Lille_59H 5_45 (Groot).JPG,1,0,3,69,57,1370,985,1440,1080
hand/KA_8/380_2_ADN Lille_59H 5_46.jpeg,380_2_ADN Lille_59H 5_46.jpeg,1,0,5,752,275,3600,2598,4032,3024
hand/KA_8/384_3_ADN Lille_59H71_309 (Groot).JPG,384_3_ADN Lille_59H71_309 (Groot).JPG,1,0,1,103,28,1372,1000,1440,1080
hand/KA_8/409_3_ADN Lille_211H1_2 (Groot).JPG,409_3_ADN Lille_211H1_2 (Groot).JPG,1,0,3,84,260,1396,784,1440,1080
hand/KA_8/415_1_ADN Lille 31H54_841 (DiBe 22526).jpg,415_1_ADN Lille 31H54_841 (DiBe 22526).jpg,1,0,2,319,462,2947,2824,3335,3785
hand/KA_8/43_2_ADN Lille B 1499_1103.jpeg,43_2_ADN Lille B 1499_1103.jpeg,1,0,22,1182,221,2800,2094,4032,3024
hand/KA_8/446_3_RAGent K14_2987.jpeg,446_3_RAGent K14_2987.jpeg,1,0,3,1041,100,3526,2807,4032,3024
hand/KA_8/44_1_ANParijs_J 540_I-5-22 (Groot).jpg,44_1_ANParijs_J 540_I-5-22 (Groot).jpg,1,0,1,96,259,1348,673,1440,1080
hand/KA_8/459_1_ARA T014_2011.jpeg,459_1_ARA T014_2011.jpeg,1,0,12,1182,725,3284,2215,4032,3024
hand/KA_8/468_1_SAGent_94_77.jpeg,468_1_SAGent_94_77.jpeg,1,0,27,42,194,3728,1276,4032,3024
hand/KA_8/477_2_ADN Lille B 1359_1293.jpeg,477_2_ADN Lille B 1359_1293.jpeg,1,0,3,15,211,3969,2410,4032,3024
hand/KA_8/47_1_SAGent_94_75.jpeg,47_1_SAGent_94_75.jpeg,1,0,4,194,202,4129,2711,4236,4849
hand/KA_8/482_3_ADN Lille B 4033_1514.jpeg,482_3_ADN Lille B 4033_1514.jpeg,1,0,2,315,396,3862,1705,4032,3024
hand/KA_8/50_1_RABrugge_INV 100_102 (Groot).JPG,50_1_RABrugge_INV 100_102 (Groot).JPG,1,0,8,324,87,1129,829,1440,1080
hand/KA_8/520_1_ADN Lille_Archives hospitalières de Seclin B 6_183.JPG,520_1_ADN Lille_Archives hospitalières de Seclin B 6_183.JPG,1,0,4,925,388,4983,1558,5409,3177
hand/KA_8/53_2_ADN Lille 1G 254_1584.jpeg,53_2_ADN Lille 1G 254_1584.jpeg,1,0,4,477,201,3331,2753,4032,3024
hand/KA_8/549_4_SAGent 94_76.jpeg,549_4_SAGent 94_76.jpeg,1,0,19,181,188,3875,1422,4032,3024
hand/KA_8/550_2_ADN Lille B445_1193.jpeg,550_2_ADN Lille B445_1193.jpeg,1,0,1,1511,622,5086,3150,6016,4000
hand/KA_8/555_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_883.jpeg,555_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_883.jpeg,1,0,2,0,880,3969,1725,4032,3024
hand/KA_8/556_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_854.jpeg,556_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_854.jpeg,1,0,3,301,670,3936,2229,4032,3024
hand/KA_8/557_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_851.jpeg,557_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_851.jpeg,1,0,3,80,450,3936,2451,4032,3024
hand/KA_8/564_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_797.jpeg,564_1_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_797.jpeg,1,0,21,443,846,3916,2572,4032,3024
hand/KA_8/570_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1040.jpeg,570_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_1040.jpeg,1,0,2,134,155,3701,2545,4032,3024
hand/KA_8/574_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_942.jpeg,574_2_Archief Grootseminarie Brugge_Fonds Ten Duinen-Ter Doest_942.jpeg,1,0,5,34,292,3983,2646,4032,3024
hand/KA_8/577_2_RAGent K21_151.jpeg,577_2_RAGent K21_151.jpeg,1,0,1,80,262,4030,3022,4032,3024
hand/KA_8/587_2_RA Bergen_AEM.01.151_12.jpeg,587_2_RA Bergen_AEM.01.151_12.jpeg,1,0,6,342,120,3848,2585,4032,3024
hand/KA_8/58_1_SAGent_94_89.jpg,58_1_SAGent_94_89.jpg,1,0,9,204,450,3714,3478,3867,6519
hand/KA_8/594_2_RAGent K6_5.jpeg,594_2_RAGent K6_5.jpeg,1,0,2,127,147,3996,1953,4032,3024
hand/KA_8/599_2_RAGent K144_43.jpeg,599_2_RAGent K144_43.jpeg,1,0,12,74,813,4030,3022,4032,3024
hand/KA_8/601_2_Bisschoppelijk Archief Brugge A249_286.jpeg,601_2_Bisschoppelijk Archief Brugge A249_286.jpeg,1,0,3,168,336,3969,1711,4032,3024
hand/KA_8/602_2_Bisschoppelijk Archief Brugge A249_294.jpeg,602_2_Bisschoppelijk Archief Brugge A249_294.jpeg,1,0,3,94,349,3969,2074,4032,3024
hand/KA_8/604_2_Bisschoppelijk Archief Brugge A249_307.jpeg,604_2_Bisschoppelijk Archief Brugge A249_307.jpeg,1,0,5,127,309,3922,2471,4032,3024
