doc_id,filename,hand_id,status,batch,source,note
676,676_SAGent_Bijloke_F40 (1).JPG,,unidentified,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
689,689_AM Lille_PAT-178_3825_2.jpeg,,unidentified,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
701,701_AM Lille_PAT-120-2192_1.jpg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
702,702_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1.jpeg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
703,703_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1.jpeg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
704,704_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_62_2.jpeg,,unidentified,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
705,705_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_64_2.jpeg,,unidentified,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
706,706_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_76_1.jpeg,,unidentified,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
707,707_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2.jpeg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
708,708_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2.jpeg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
709,709_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_88_1.jpeg,KA_12,tentative,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)","folder KA12(?): mogelijk eenzelfde hand (12e kanselarijhand?), nog niet paleografisch bevestigd"
710,710_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2.jpeg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
712,712_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2.jpeg,KA_8,confirmed,addendum,"Robin Waeytens, addendum e-mail 2026-09 (KESTEMONT-WAEYTENS_Corpus-Margareta1270_Addendum)",
314,314_1_ADN Lille_31H63_974 (Groot) .JPG,KA_8,confirmed,main,Robin remarks on similarity.xlsx line 6,true match to KA_8-295; left unattributed as software test case
