relative_path,filename,main_document,fell_back,n_regions,x0,y0,x1,y1,width,height
hand/KA_8/663_RA Bergen AEM.08.001_53_1.jpg,663_RA Bergen AEM.08.001_53_1.jpg,1,0,4,6213,2997,9524,4547,15748,10992
hand/KA_8/664_RA Bergen AEM.08.001_38_1.jpg,664_RA Bergen AEM.08.001_38_1.jpg,1,0,7,263,252,3715,2515,3958,4550
hand/KA_8/669_SAGent_Bijloke_F17 (1).JPG,669_SAGent_Bijloke_F17 (1).JPG,1,0,3,493,20,3484,1718,4000,3000
hand/KA_8/671_SAGent_Bijloke_F29 (1).JPG,671_SAGent_Bijloke_F29 (1).JPG,1,0,1,101,233,2937,3020,3000,4000
hand/KA_8/674_SAGent_Bijloke_F35 (1).JPG,674_SAGent_Bijloke_F35 (1).JPG,1,0,4,493,53,3425,1905,4000,3000
hand/KA_8/701_AM Lille_PAT-120-2192_1.jpg,701_AM Lille_PAT-120-2192_1.jpg,1,0,1,124,171,3040,2413,3155,4297
hand/KA_8/702_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1.jpeg,702_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_69_1.jpeg,1,0,9,591,551,3633,1234,4032,3024
hand/KA_8/703_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1.jpeg,703_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_70_1.jpeg,1,0,1,1323,262,3076,1080,4032,3024
hand/KA_8/707_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2.jpeg,707_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_75_2.jpeg,1,0,1,376,315,3718,2034,4032,3024
hand/KA_8/708_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2.jpeg,708_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_86_2.jpeg,1,0,29,376,787,3788,1617,4032,3024
hand/KA_8/710_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2.jpeg,710_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_81_2.jpeg,1,0,1,181,752,3727,2121,4032,3024
hand/KA_8/712_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2.jpeg,712_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_92_2.jpeg,1,0,2,356,181,3687,2162,4032,3024
hand/KA_9/670_SAGent_Bijloke_F26 (1).JPG,670_SAGent_Bijloke_F26 (1).JPG,1,0,4,196,789,3977,1426,4000,3000
unattributed/665_1_RABergen_ AEM.08.001_27.jpg,665_1_RABergen_ AEM.08.001_27.jpg,1,0,3,250,335,2680,1974,2951,2651
unattributed/676_SAGent_Bijloke_F40 (1).JPG,676_SAGent_Bijloke_F40 (1).JPG,1,0,2,40,313,3971,1031,4000,3000
unattributed/689_AM Lille_PAT-178_3825_2.jpeg,689_AM Lille_PAT-178_3825_2.jpeg,1,0,15,220,262,3983,2173,4032,3024
unattributed/704_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_62_2.jpeg,704_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_62_2.jpeg,1,0,1,375,396,3691,1859,4032,3024
unattributed/705_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_64_2.jpeg,705_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_64_2.jpeg,1,0,4,423,517,3808,1920,4032,3024
unattributed/706_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_76_1.jpeg,706_ADN Lille_Archives hospitalières_Hôpital Comtesse_Titres isolés_76_1.jpeg,1,0,1,645,362,3727,1926,4032,3024
